dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
boneS01,127225,3421188,0.1574,0.2247,0.1598,0.1676,0.2042,0.2433,0.2983,0.3195,0.2988,0.2592,0,0.98
boneS10,914899,28191660,1.179,1.8095,1.1886,1.4869,1.9368,2.1862,2.4816,2.4688,2.3967,2.1974,0,0.99
boyd1,93280,652246,0.0596,0.1445,0.0688,0.0883,0.1125,0.1167,0.1347,0.1443,0.1445,0.1451,0,0.87
boyd2,466317,890091,0.4174,0.7102,0.4619,0.8494,0.849,0.849,0.8478,0.85,0.8472,0.848,0,0.9
brack2,62632,366559,0.0369,0.0363,0.038,0.0504,0.052,0.048,0.0437,0.0397,0.0372,0.0372,9,0.98
brainpc2,27608,96601,0.0121,0.0167,0.0134,0.02,0.0226,0.0225,0.0225,0.0226,0.0225,0.0225,0,0.9
bratu3d,27793,88627,0.0138,0.0113,0.0149,0.0159,0.016,0.012,0.0119,0.0119,0.0119,0.0118,9,0.96
Bump_2911,2911420,65320659,3.4181,4.7939,3.4178,4.4246,6.1194,7.5178,7.8374,7.8914,5.6122,5.3956,1,1.0
bundle1,10582,390741,0.0178,0.024,0.0192,0.0193,0.0184,0.0183,0.0183,0.0168,0.0167,0.0167,7,1.07
bundle_adj,513352,10360701,0.5342,0.8184,0.5425,0.7435,1.0359,1.1894,1.2092,1.246,1.2625,1.2681,0,0.98
c-42,10472,60378,0.0161,0.0085,0.0168,0.0086,0.0087,0.0087,0.0088,0.0085,0.0087,0.0087,9,1.0
c-43,11126,67400,0.0146,0.0085,0.016,0.0095,0.0095,0.0094,0.0086,0.0094,0.0086,0.0086,9,0.99
c-45,13207,93829,0.0082,0.0101,0.0094,0.011,0.0109,0.0111,0.0102,0.0102,0.0102,0.0102,0,0.87
c-46,14914,72655,0.013,0.0101,0.0144,0.0119,0.0119,0.0119,0.0111,0.0111,0.011,0.0111,9,0.92
c-47,15344,113372,0.0208,0.0117,0.021,0.0142,0.0127,0.0126,0.0128,0.012,0.0127,0.0121,9,0.97
c-48,18355,92217,0.0185,0.0118,0.0201,0.0137,0.0136,0.0135,0.0128,0.0126,0.0126,0.0126,9,0.94
c-49,21133,89087,0.0199,0.0125,0.0209,0.0151,0.0143,0.0143,0.0135,0.0135,0.0134,0.0135,9,0.93
c-50,22402,108013,0.0198,0.0142,0.0209,0.016,0.0159,0.0159,0.0151,0.015,0.0151,0.0151,9,0.95
c-51,23197,113123,0.021,0.0142,0.0224,0.0167,0.0158,0.0159,0.015,0.0151,0.015,0.0151,9,0.95
c-52,23949,113332,0.0212,0.0142,0.0224,0.0167,0.0175,0.0175,0.0175,0.0168,0.0167,0.0168,9,0.85
c-53,30236,201224,0.0247,0.0223,0.0273,0.0249,0.0241,0.0241,0.0233,0.0233,0.0233,0.0226,9,0.99
c-54,31794,211743,0.0268,0.0232,0.0281,0.0259,0.025,0.025,0.0241,0.024,0.024,0.024,9,0.97
c-55,32781,218115,0.0301,0.0256,0.0315,0.0265,0.0264,0.0265,0.0257,0.0249,0.0249,0.0249,6,1.03
c-56,35911,208405,0.0281,0.0256,0.0298,0.0282,0.0273,0.0273,0.0266,0.0266,0.0266,0.0257,9,1.0
c-57,37834,221515,0.0229,0.0256,0.0249,0.0298,0.0298,0.0298,0.0291,0.0289,0.0281,0.0282,0,0.92
c-58,37596,295076,0.0385,0.0305,0.0389,0.0323,0.0315,0.0323,0.0306,0.0306,0.0306,0.0307,9,1.0
c-59,41283,260909,0.0346,0.0305,0.0365,0.0324,0.0322,0.0322,0.0315,0.0307,0.0306,0.0307,9,1.0
c-60,43641,171109,0.0304,0.0256,0.0322,0.0323,0.0314,0.0315,0.0298,0.0299,0.0289,0.0282,9,0.91
c-61,43619,176817,0.0313,0.0264,0.0332,0.0323,0.0306,0.0306,0.029,0.0281,0.0282,0.0274,9,0.96
c-62,41732,300537,0.0365,0.0322,0.0381,0.0339,0.0339,0.0339,0.0323,0.0322,0.0323,0.0322,9,1.0
c-62ghs,41732,300537,0.0368,0.0322,0.0373,0.0339,0.0339,0.0339,0.0323,0.0322,0.0323,0.0323,9,1.0
c-63,44235,239469,0.0334,0.0298,0.0348,0.0339,0.0322,0.0324,0.0315,0.0307,0.0306,0.0307,9,0.97
c-64,51036,384438,0.0349,0.0388,0.0373,0.0405,0.0397,0.0388,0.0389,0.0379,0.0384,0.0381,0,0.94
c-64b,51036,384438,0.0347,0.0387,0.0372,0.0405,0.0397,0.0389,0.0389,0.038,0.0381,0.038,0,0.93
c-65,48067,204297,0.0334,0.0298,0.0347,0.0355,0.0331,0.0331,0.0315,0.0314,0.0307,0.0306,9,0.97
c-66,49990,274498,0.0325,0.033,0.0347,0.038,0.0372,0.0372,0.0363,0.0356,0.0353,0.0347,0,0.94
c-66b,49990,274498,0.0323,0.033,0.034,0.0382,0.0372,0.0373,0.0364,0.0356,0.0357,0.0348,0,0.95
c-67b,57976,294955,0.0344,0.0363,0.0371,0.0438,0.0431,0.043,0.0422,0.0421,0.0414,0.0413,0,0.93
c-68,64811,315408,0.0431,0.0412,0.0454,0.0495,0.0487,0.0479,0.0455,0.0455,0.0437,0.0438,9,0.94
c-69,67459,345714,0.0437,0.0436,0.0454,0.0503,0.0487,0.0486,0.0469,0.0469,0.0454,0.0454,9,0.96
c-70,68925,363955,0.0453,0.0445,0.0478,0.0519,0.0503,0.0503,0.0478,0.0478,0.0478,0.0474,9,0.94
c-71,76639,468096,0.053,0.0535,0.0553,0.0593,0.0577,0.0576,0.0552,0.0548,0.0544,0.0545,0,0.97
c-73,169423,724348,0.1607,0.2472,0.1687,0.2697,0.264,0.2659,0.2647,0.2594,0.2936,0.2634,0,0.95
c-73b,169423,724348,0.1606,0.2471,0.1683,0.3035,0.2638,0.3026,0.26,0.2637,0.2595,0.2639,0,0.95
ca-AstroPh,18773,198110,0.0333,0.0174,0.034,0.02,0.0175,0.0175,0.0175,0.0176,0.0175,0.0173,8,1.01
ca-CondMat,23134,93497,0.025,0.0125,0.0258,0.0142,0.0127,0.0127,0.0134,0.0126,0.0127,0.0134,9,0.99
cage14,1505786,27130349,3.4594,3.2446,3.4843,5.285,4.3285,3.4104,3.2462,3.2456,3.2449,3.2428,8,1.0
cage15,5154860,99199551,13.0734,13.1424,13.1945,20.2605,16.8517,13.7011,13.1494,13.1419,13.1428,13.1428,0,0.99
ca-HepPh,12009,118521,0.0223,0.0109,0.0225,0.0192,0.0159,0.011,0.011,0.011,0.011,0.011,9,0.99
caidaRouterLevel,192245,609066,0.164,0.2495,0.1665,0.2892,0.2479,0.2492,0.2448,0.2534,0.2537,0.2496,0,0.98
cant,62452,2034917,0.0644,0.1223,0.0658,0.0627,0.0708,0.0773,0.0865,0.097,0.1069,0.1191,2,1.03
case39,40217,526139,0.0222,0.0387,0.0233,0.0241,0.024,0.0248,0.0266,0.0266,0.0266,0.0265,0,0.95
case9,14455,75801,0.0081,0.0093,0.0093,0.0111,0.0103,0.0102,0.011,0.0103,0.0102,0.0102,0,0.87
c-big,345242,1343126,0.3569,0.5508,0.3821,0.6474,0.6213,0.6705,0.6014,0.5848,0.6087,0.5629,0,0.93
cbuckle,13682,345098,0.0211,0.024,0.0234,0.0142,0.0143,0.0159,0.0151,0.0166,0.0167,0.02,2,1.49
ccc,49153,73728,0.018,0.0264,0.0193,0.0274,0.0274,0.0273,0.0273,0.0274,0.0274,0.0274,0,0.93
cfd1,70657,949510,0.0598,0.0641,0.061,0.0684,0.0774,0.07,0.0667,0.0643,0.0642,0.065,0,0.98
Chebyshev4,68122,5377761,0.2233,0.4085,0.2247,0.2083,0.244,0.2679,0.4004,0.4055,0.4078,0.4083,2,1.07
circuit_4,80210,307604,0.0451,0.0438,0.0453,0.0569,0.065,0.0636,0.056,0.047,0.0471,0.0462,9,0.97
circuit5M,5558327,59524291,10.4304,14.4155,10.4383,18.55,19.4371,19.4435,19.4424,19.4284,19.4398,19.4231,0,1.0
circuit5M_dc,3523318,19194193,4.5202,6.4278,4.604,8.1361,8.1219,6.5778,6.4539,6.4407,6.4354,6.433,0,0.98
citationCiteseer,268496,1156647,0.2825,0.328,0.2855,0.3295,0.3282,0.3278,0.3312,0.3308,0.3306,0.331,0,0.99
cit-Patents,3774769,16518948,4.7126,5.7735,4.7578,6.1678,5.7814,5.7676,5.7628,5.7733,5.7607,5.7673,0,0.99
ckt11752_dc_1,49703,333029,0.0278,0.0281,0.0291,0.0396,0.0405,0.0364,0.0347,0.0338,0.034,0.0331,0,0.96
ckt11752_tr_0,49703,333029,0.0278,0.0281,0.0291,0.0396,0.0405,0.0364,0.0347,0.0339,0.0339,0.0331,0,0.96
cnr-2000,325558,3216152,0.3182,0.4551,0.3284,0.5035,0.5241,0.5215,0.5197,0.5167,0.5103,0.5011,0,0.97
CO,221120,3943588,0.384,0.3618,0.3853,0.627,0.6298,0.6314,0.6292,0.6167,0.605,0.362,9,1.0
coAuthorsCiteseer,227321,814134,0.1919,0.3122,0.1944,0.3405,0.3431,0.3368,0.3259,0.314,0.3119,0.3132,0,0.99
coAuthorsDBLP,299068,977676,0.2531,0.4126,0.2563,0.5022,0.4938,0.4646,0.4377,0.4245,0.4191,0.4192,0,0.99
cond-mat-2003,31164,120029,0.0172,0.0174,0.0183,0.0242,0.0209,0.0184,0.0175,0.0176,0.0175,0.0175,0,0.98
cond-mat-2005,40422,175693,0.0227,0.0224,0.0242,0.0323,0.0282,0.0249,0.0234,0.0233,0.0226,0.0225,9,1.0
conf5_4-8x8-05,49153,1916928,0.0759,0.1158,0.0765,0.0734,0.0732,0.0953,0.1025,0.1061,0.1158,0.1159,3,1.04
conf5_4-8x8-10,49153,1916928,0.0758,0.1159,0.0768,0.0733,0.0733,0.0954,0.1027,0.106,0.1158,0.1159,2,1.03
conf5_4-8x8-15,49153,1916928,0.0761,0.1157,0.0764,0.0724,0.0733,0.0953,0.1028,0.106,0.1158,0.1158,2,1.05
conf5_4-8x8-20,49153,1916928,0.076,0.1159,0.0765,0.0728,0.0733,0.0953,0.1027,0.106,0.1159,0.1158,2,1.04
conf6_0-8x8-20,49153,1916928,0.0763,0.1157,0.0766,0.0724,0.0732,0.0953,0.102,0.106,0.1158,0.1158,2,1.05
conf6_0-8x8-30,49153,1916928,0.0758,0.1158,0.0766,0.0733,0.0732,0.0953,0.1028,0.106,0.1159,0.1158,3,1.04
conf6_0-8x8-80,49153,1916928,0.076,0.1157,0.0765,0.0724,0.0732,0.0954,0.1028,0.1061,0.1162,0.1158,2,1.05
consph,83335,3046907,0.0937,0.1843,0.0969,0.0937,0.1011,0.1102,0.1281,0.1388,0.1634,0.1753,0,1.0
cont-201,80596,239596,0.0333,0.0421,0.0355,0.0602,0.0601,0.0429,0.043,0.0429,0.0429,0.043,0,0.94
cont-300,180896,539396,0.1472,0.2354,0.1431,0.3069,0.3063,0.2293,0.2355,0.2358,0.2358,0.2323,1,1.03
coPapersCiteseer,434103,16036720,0.6364,1.1285,0.6546,0.8481,0.9448,0.989,1.0079,1.0281,1.0514,1.0867,0,0.97
coPapersDBLP,540487,15245729,0.7271,1.1476,0.7424,1.0883,1.2113,1.2515,1.26,1.2537,1.2607,1.2993,0,0.98
copter1,17223,114143,0.0134,0.0117,0.0127,0.015,0.0169,0.0119,0.0119,0.0119,0.0112,0.0112,7,1.04
CoupCons3D,416801,22322336,0.8387,1.29,0.8505,1.0694,1.0567,1.3355,1.4752,1.4966,1.4884,1.5192,0,0.99
crankseg_1,52805,5333507,0.1338,0.2846,0.1339,0.1256,0.1249,0.1559,0.1698,0.1962,0.2281,0.2435,3,1.07
crankseg_2,63839,7106348,0.1884,0.4027,0.1894,0.1771,0.1809,0.212,0.2324,0.2657,0.3072,0.3282,2,1.06
crplat2,18011,489478,0.0176,0.0321,0.0184,0.0175,0.0176,0.0184,0.0183,0.0209,0.0208,0.0249,2,1.01
