dataSet,num_nodes1,num_edges1,time
Long_Coup_dt6,1470153,44279572,2.7559
lowThrust_10,18261,116074,0.3551
lowThrust_11,18369,117002,0.3492
lowThrust_12,18459,117423,0.3517
lowThrust_13,18477,117580,0.3513
lowThrust_4,13563,84240,0.2639
lowThrust_5,16263,103701,0.3083
lowThrust_6,16929,108376,0.3224
lowThrust_7,17379,110607,0.3309
lowThrust_8,17703,113139,0.3365
lowThrust_9,18045,114806,0.3439
lp1,534389,1088904,24.4754
luxembourg_osm,114600,119666,0.1302
m14b,214766,1679018,0.2898
mario001,38435,114643,0.0195
mario002,389875,1167685,0.5584
mark3jac040sc,18290,113435,0.0155
mark3jac060sc,27450,170695,0.0216
me2010,69519,167738,0.0368
memplus,17759,126150,0.038
mip1,66464,5209641,5.0997
ML_Laplace,377003,27689972,1.4732
mouse_gene,45102,14506196,1.7104
msc10848,10849,620313,0.0599
msc23052,23053,588933,0.0356
msdoor,415864,10328399,0.7557
m_t1,97579,4925574,0.2676
mult_dcop_01,25188,193276,1.0627
mult_dcop_02,25188,193276,1.0621
mult_dcop_03,25188,193216,1.0615
NACA0015,1039184,3114818,1.7363
nasasrb,54871,1366097,0.078
nd12k,36001,7128473,0.3685
nd24k,72001,14393817,0.7842
nd6k,18001,3457658,0.1962
net100,29921,1031560,0.1032
net125,36721,1306960,0.1261
net150,43521,1582360,0.1562
net4-1,88344,1265035,0.4585
net50,16321,480760,0.0464
net75,23121,756160,0.0729
netherlands_osm,2216689,2441238,2.4943
nh2010,48838,117275,0.0259
NLR,4163764,12487976,7.6595
NotreDame_www,325730,929849,1.0103
nv2010,84539,208499,0.0696
ohne2,181344,11063545,0.8221
oilpan,73753,1835470,0.1115
olafu,16147,515651,0.0311
onetone2,36058,227628,0.0286
OPF_10000,43888,255799,0.026
opt1,15450,973052,0.0561
p2p-Gnutella31,62587,147892,0.0329
parabolic_fem,525826,2100225,1.1115
patents,3774769,14970767,7.9189
pattern1,19243,4671337,0.571
pcrystk02,13966,491274,0.0299
pcrystk03,24697,887937,0.0509
pct20stif,52330,1375396,0.0798
pdb1HYS,36418,2190591,0.1207
pds10,16559,83108,0.0133
PFlow_742,742794,18940627,1.3046
pkustk01,22045,500712,0.0338
pkustk02,10801,410400,0.0274
pkustk03,63337,1596876,0.0926
pkustk04,55591,2137125,0.1309
pkustk05,37165,1121154,0.0657
pkustk06,43165,1307466,0.0756
pkustk07,16861,1217832,0.073
pkustk08,22210,1624440,0.0938
pkustk09,33961,808800,0.0494
pkustk10,80677,2194830,0.1261
pkustk11,87805,2652858,0.1514
pkustk12,94654,3803485,0.2114
pkustk13,94894,3355860,0.1922
pkustk14,151927,7494215,0.4311
pli,22696,686502,0.0426
PR02R,161071,8185136,0.4576
Pres_Poisson,14823,365313,0.0242
pwtk,217919,5926171,0.3802
qa8fk,66128,863353,0.0561
qa8fm,66128,863353,0.0561
raefsky3,21201,1488768,0.08
raefsky4,19780,674195,0.0407
rajat15,37262,443573,0.1719
rajat22,39900,197264,0.184
rajat26,51033,249302,0.1878
rajat29,643995,4866270,39.5095
rajat30,643995,6175377,39.5369
ramage02,16831,1441591,0.0799
Reuters911,13333,148038,0.08
rgg_n_2_15_s0,32769,160240,0.0226
rgg_n_2_22_s0,4194305,30359198,5.1875
ri2010,25182,62875,0.0153
rim,22561,1014951,0.0608
RM07R,381690,37464962,2.0905
rma10,46836,2374001,0.1385
roadNet-CA,1971282,2766607,2.1957
roadNet-PA,1090921,1541898,1.2136
roadNet-TX,1393384,1921660,1.5367
s3dkq4m2,90450,2455670,0.1394
s3dkt3m2,90450,1921955,0.1148
s4dkt3m2,90450,1921955,0.1144
Serena,1391350,32961525,2.3729
shermanACb,18511,145149,0.5212
ship_001,34921,2339575,0.1334
ship_003,121729,4103881,0.2424
shipsec1,140875,3977139,0.2529
shipsec5,179861,5146478,0.3231
shipsec8,114920,3384159,0.2036
Si10H16,17078,446500,0.0387
Si34H36,97570,2626974,0.195
Si41Ge41H72,185640,7598452,0.5161
Si5H12,19897,379247,0.0389
Si87H76,240370,5451000,0.4356
sinc15,11533,568526,0.0466
SiO,33402,675528,0.0688
SiO2,155332,5719417,0.4757
skirt,12599,104559,0.0105
smallworld,100001,499998,0.1151
sme3Dc,42931,3148656,0.3143
smt,25711,1889447,0.1109
soc-LiveJournal1,4847572,68993773,20.9925
soc-sign-Slashdot090221,82145,549202,0.1956
sparsine,50001,799494,0.0915
srb1,54925,1508538,0.0855
Stanford,281904,2312497,0.4182
std1_Jac2,21983,1248731,0.1166
std1_Jac3,21983,1455848,0.1272
stokes128,49667,295938,0.0281
stokes64,12547,74242,0.0087
struct3,53571,613632,0.0409
t2dah,11446,93781,0.0096
t2dah_a,11446,93781,0.0096
t2dah_e,11446,93781,0.0096
