dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
pkustk07, 16860, 16860, 1217832, 0.263546, 4699.101818, 0.505120, 2451.749425, 0.230205, 5379.677858
pkustk08, 22209, 22209, 1624440, 0.350918, 4707.805595, 0.674400, 2449.667204, 0.310067, 5328.056462
pkustk09, 33960, 33960, 808800, 0.154029, 5264.104473, 0.319078, 2541.142508, 0.181232, 4473.954283
pkustk10, 80676, 80676, 2194830, 0.434586, 5076.559628, 0.931738, 2367.833793, 0.737075, 2993.181497
pkustk11, 87804, 87804, 2652858, 0.561421, 4758.588992, 1.061786, 2516.111480, 0.845517, 3159.690046
pkustk12, 94653, 94653, 3803485, 0.886374, 4339.369908, 1.540198, 2497.279734, 0.993043, 3873.251617
pkustk13, 94893, 94893, 3355860, 1.012326, 3346.564230, 1.407488, 2406.994240, 1.018755, 3325.445871
pkustk14, 151926, 151926, 7494215, 1.739776, 4366.245929, 3.099533, 2450.785430, 1.878509, 4043.787400
pli, 22695, 22695, 686502, 0.261120, 2647.664610, 0.285594, 2420.776221, 0.187478, 3687.668610
PR02R, 161070, 161070, 8185136, 1.127629, 3716.462031, 1.766819, 2371.940294, 1.528218, 2742.272846
Pres_Poisson, 14822, 14822, 365313, 0.076394, 4797.413083, 0.125440, 2921.648945, 0.094544, 3876.413630
pwtk, 217918, 217918, 5926171, 1.232067, 4834.821567, 2.417254, 2464.293775, 2.319053, 2568.645640
qa8fk, 66127, 66127, 863353, 0.257843, 3297.416494, 0.309760, 2744.758693, 0.217907, 3901.736545
qa8fm, 66127, 66127, 863353, 0.257638, 3300.037672, 0.309965, 2742.945161, 0.217907, 3901.736545
raefsky3, 21200, 21200, 1488768, 0.106189, 7178.245076, 0.233776, 3260.596576, 0.129126, 5903.124243
raefsky4, 19779, 19779, 674195, 0.147549, 4610.331336, 0.269824, 2521.083452, 0.135987, 5002.300512
rajat15, 37261, 37261, 443573, 0.156058, 1455.292030, 0.115200, 1971.435640, 0.077635, 2925.340302
rajat22, 39899, 39899, 197264, 0.133120, 758.707690, 0.101702, 993.085355, 0.080202, 1259.316092
rajat26, 51032, 51032, 249302, 0.173738, 734.686250, 0.151238, 843.982872, 0.120701, 1057.512656
rajat29, 643994, 643994, 4866270, 15.260468, 163.266966, 3.405107, 731.703924, 2.641165, 943.345246
rajat30, 643994, 643994, 6175377, 16.022427, 197.335476, 3.563008, 887.394280, 2.960384, 1068.034768
ramage02, 16830, 16830, 1441591, 0.384512, 3816.713762, 0.606413, 2420.087839, 0.373846, 3925.602007
Reuters911, 13332, 13332, 148038, 0.101274, 1496.845353, 0.083251, 1820.885563, 0.076310, 1986.503907
rgg_n_2_15_s0, 32768, 32768, 160240, 0.080179, 2046.487802, 0.096768, 1695.661415, 0.071757, 2286.692892
rgg_n_2_22_s0, 4194304, 4194304, 30359198, 44.315033, 701.518575, 18.030796, 1724.151133, 12.904851, 2409.002577
ri2010, 25181, 25181, 62875, 0.040832, 1576.802470, 0.052602, 1223.993194, 0.031674, 2032.733804
rim, 22560, 22560, 1014951, 0.185203, 2805.863652, 0.198429, 2618.848262, 0.117962, 4405.288867
RM07R, 381689, 381689, 37464962, 4.641075, 4133.107090, 7.711028, 2487.614067, 3.839603, 4995.844709
rma10, 46835, 46835, 2374001, 0.350822, 3464.683294, 0.457088, 2659.200261, 0.341213, 3562.259452
roadNet-CA, 1971281, 1971281, 2766607, 6.825472, 415.063670, 7.053107, 401.667717, 4.756685, 595.584034
roadNet-PA, 1090920, 1090920, 1541898, 3.760947, 419.815418, 3.891917, 405.687915, 2.635043, 599.194573
roadNet-TX, 1393383, 1393383, 1921660, 4.736989, 415.407321, 4.948861, 397.622780, 3.348774, 587.611956
s3dkq4m2, 90449, 90449, 2455670, 0.472371, 5225.331707, 1.004442, 2457.381382, 0.934390, 2641.611379
s3dkt3m2, 90449, 90449, 1921955, 0.369562, 5200.139918, 0.816435, 2353.857273, 0.873984, 2198.864201
s4dkt3m2, 90449, 90449, 1921955, 0.369347, 5203.158653, 0.816432, 2353.866622, 0.874150, 2198.445593
Serena, 1391349, 1391349, 32961525, 18.459415, 1789.885080, 12.603248, 2621.564802, 14.918861, 2214.661699
shermanACb, 18510, 18510, 145149, 0.230886, 321.873806, 0.047098, 1577.920930, 0.033696, 2205.492957
ship_001, 34920, 34920, 2339575, 0.477286, 4982.010439, 0.991453, 2398.344919, 0.372736, 6379.436796
ship_003, 121728, 121728, 4103881, 0.947389, 4369.957967, 1.671782, 2476.428258, 1.342464, 3083.918451
shipsec1, 140874, 140874, 3977139, 0.893405, 4477.771983, 1.650278, 2424.113817, 1.514291, 2641.805534
shipsec5, 179860, 179860, 5146478, 1.187226, 4361.348871, 2.160013, 2397.164086, 1.927578, 2686.223982
shipsec8, 114919, 114919, 3384159, 0.759203, 4486.994138, 1.380454, 2467.694824, 1.242931, 2740.731229
Si10H16, 17077, 17077, 446500, 0.157491, 2847.604118, 0.193638, 2316.031245, 0.121651, 3686.544719
Si34H36, 97569, 97569, 2626974, 0.964058, 2738.493995, 1.189171, 2220.089089, 0.969421, 2723.343680
Si41Ge41H72, 185639, 185639, 7598452, 2.809568, 2735.569175, 3.381248, 2273.056419, 2.302874, 3337.468301
Si5H12, 19896, 19896, 379247, 0.138442, 2731.564648, 0.161792, 2337.335384, 0.130765, 2891.926515
Si87H76, 240369, 240369, 5451000, 2.119478, 2575.518123, 2.450022, 2228.043000, 2.343629, 2329.189195
sinc15, 11532, 11532, 568526, 0.096966, 3001.919415, 0.127686, 2279.689146, 0.096336, 3021.563159
SiO, 33401, 33401, 675528, 0.234797, 2873.290142, 0.282422, 2388.760102, 0.213056, 3166.488552
SiO2, 155331, 155331, 5719417, 1.418138, 4073.760790, 2.549971, 2265.575995, 2.276537, 2537.693098
skirt, 12598, 12598, 104559, 0.041062, 2450.374080, 0.047002, 2140.740729, 0.030128, 3339.692071
smallworld, 100000, 100000, 499998, 0.330870, 1547.427535, 0.454451, 1126.629163, 0.256717, 1994.407661
sme3Dc, 42930, 42930, 3148656, 0.679514, 2372.449761, 0.742912, 2169.990333, 0.708403, 2275.698160
smt, 25710, 25710, 1889447, 0.427450, 4495.571344, 0.782950, 2454.344751, 0.348160, 5519.388162
soc-sign-Slashdot090221, 82144, 82144, 549202, 0.181722, 1547.374765, 0.240128, 1171.006433, 0.193434, 1453.684529
sparsine, 50000, 50000, 799494, 0.383898, 2065.868282, 0.421990, 1879.383669, 0.402099, 1972.353825
srb1, 54924, 54924, 1508538, 0.238803, 6350.927666, 0.603238, 2514.133458, 0.476365, 3183.740305
Stanford, 281903, 281903, 2312497, 1.927270, 614.339594, 1.616285, 732.543237, 1.017344, 1163.813289
std1_Jac2, 21982, 21982, 1248731, 0.198416, 3222.271839, 0.273216, 2340.090810, 0.163619, 3907.550495
std1_Jac3, 21982, 21982, 1455848, 0.220979, 3373.141953, 0.308838, 2413.541182, 0.196198, 3799.185729
stokes128, 49666, 49666, 295938, 0.122470, 2335.259146, 0.190464, 1501.596806, 0.111821, 2557.664719
stokes64, 12546, 12546, 74242, 0.026214, 2735.039069, 0.043194, 1659.908151, 0.021094, 3398.883545
struct3, 53570, 53570, 613632, 0.222618, 2699.388196, 0.231424, 2596.668165, 0.145818, 4121.116526
t2dah, 11445, 11445, 93781, 0.034688, 2599.512998, 0.038016, 2371.946104, 0.021709, 4153.702850
t2dah_a, 11445, 11445, 93781, 0.034714, 2597.595939, 0.037683, 2392.893969, 0.022128, 4075.013855
t2dah_e, 11445, 11445, 93781, 0.034784, 2592.338464, 0.037984, 2373.944482, 0.021709, 4153.702850
t3dh, 79171, 79171, 2215638, 0.757453, 2941.804025, 0.946893, 2353.252322, 0.800768, 2782.675852
t3dh_a, 79171, 79171, 2215638, 0.757226, 2942.686742, 0.946790, 2353.506899, 0.801382, 2780.542262
t3dh_e, 79171, 79171, 2215638, 0.757142, 2943.010136, 0.946035, 2355.385691, 0.800973, 2781.964181
t3dl, 20360, 20360, 265113, 0.083968, 3108.938965, 0.102502, 2546.783077, 0.078131, 3341.192708
t3dl_a, 20360, 20360, 265113, 0.083968, 3108.938965, 0.102298, 2551.881780, 0.078147, 3340.508462
tandem_vtx, 18454, 18454, 135902, 0.060406, 2147.375156, 0.062874, 2063.110686, 0.044749, 2898.741354
ted_A, 10605, 10605, 424587, 0.061008, 3563.279286, 0.083731, 2596.266964, 0.045357, 4792.854401
ted_AB, 10605, 10605, 522387, 0.074342, 3597.706620, 0.118694, 2253.367827, 0.053248, 5022.951909
ted_AB_unscaled, 10605, 10605, 522387, 0.074445, 3592.757880, 0.118784, 2251.668132, 0.053178, 5029.601533
ted_A_unscaled, 10605, 10605, 424587, 0.061440, 3538.224832, 0.083558, 2601.636077, 0.045264, 4802.680838
ted_B_unscaled, 10605, 10605, 77592, 0.029389, 2518.797887, 0.036864, 2008.041636, 0.022621, 3272.406261
thread, 29736, 29736, 2249892, 0.471654, 4852.418429, 0.950656, 2407.458111, 0.398029, 5749.997386
tmt_sym, 726713, 726713, 2903837, 3.868774, 672.422776, 2.760499, 942.384638, 1.837846, 1415.489384
torso1, 116158, 116158, 8516500, 0.827187, 5271.416468, 1.907098, 2286.431455, 1.604486, 2717.659571
transient, 178866, 178866, 961790, 2.207846, 223.039279, 0.891789, 552.189596, 0.624870, 788.061786
trdheim, 22098, 22098, 978711, 0.188826, 5247.624857, 0.388915, 2547.819872, 0.153395, 6459.692933
Trefethen_20000, 20000, 20000, 287233, 0.105597, 2688.401349, 0.128717, 2205.513082, 0.107213, 2647.879514
Trefethen_20000b, 19999, 19999, 287217, 0.105779, 2683.615814, 0.128486, 2209.344579, 0.107325, 2644.968473
troll, 213453, 213453, 6099282, 1.427555, 4298.521640, 2.499379, 2455.160439, 2.296832, 2671.669763
TSOPF_FS_b162_c1, 10798, 10798, 305732, 0.156570, 1989.993458, 0.116122, 2683.156919, 0.084893, 3670.187452
TSOPF_FS_b162_c3, 30798, 30798, 904612, 0.454451, 2029.405229, 0.329907, 2795.530356, 0.202957, 4544.147422
TSOPF_FS_b162_c4, 40798, 40798, 1204322, 0.617062, 1989.893865, 0.460045, 2669.063111, 0.298733, 4110.324070
TSOPF_FS_b300, 29214, 29214, 2203949, 0.656054, 3433.956787, 0.802816, 2806.200222, 0.391456, 5755.084654
TSOPF_FS_b300_c1, 29214, 29214, 2203949, 0.635283, 3546.233429, 0.801894, 2809.425436, 0.390451, 5769.895201
TSOPF_FS_b300_c2, 56814, 56814, 4391071, 1.419354, 3162.666903, 1.647280, 2725.063609, 0.890669, 5039.968532
TSOPF_FS_b300_c3, 84414, 84414, 6578753, 2.128698, 3159.488790, 2.546790, 2640.812682, 1.407574, 4778.146232
TSOPF_FS_b39_c19, 76216, 76216, 998359, 1.184902, 854.527103, 0.459968, 2201.307942, 0.457830, 2211.585865
TSOPF_FS_b39_c30, 120216, 120216, 1575639, 1.930026, 827.985836, 0.798106, 2002.283755, 0.781619, 2044.517189
TSOPF_FS_b39_c7, 28216, 28216, 368599, 0.331274, 1128.375325, 0.131971, 2832.443350, 0.119200, 3135.914011
TSOPF_FS_b9_c6, 14454, 14454, 75801, 0.150835, 502.281045, 0.039248, 1930.331908, 0.029286, 2586.923123
TSOPF_RS_b162_c3, 15374, 15374, 610299, 0.048026, 6506.386046, 0.096070, 3252.542705, 0.056832, 5498.189418
TSOPF_RS_b162_c4, 20374, 20374, 812749, 0.062234, 6686.540836, 0.124621, 3339.149675, 0.075190, 5534.316642
TSOPF_RS_b2052_c1, 25626, 25626, 6761100, 0.325322, 10640.803347, 1.185674, 2919.591991, 0.482186, 7179.150900
TSOPF_RS_b2383, 38120, 38120, 16171169, 0.909344, 9105.067474, 3.070055, 2696.902840, 0.906035, 9138.318501
TSOPF_RS_b2383_c1, 38120, 38120, 16171169, 0.910029, 9098.215542, 3.069098, 2697.743710, 0.907059, 9128.002445
TSOPF_RS_b300_c1, 14538, 14538, 1474325, 0.083456, 9044.938899, 0.239514, 3151.613782, 0.085504, 8828.293271
TSOPF_RS_b300_c2, 28338, 28338, 2943887, 0.165542, 9105.039827, 0.472790, 3188.030455, 0.173670, 8678.912187
TSOPF_RS_b300_c3, 42138, 42138, 4413449, 0.251597, 8981.377395, 0.740339, 3052.230569, 0.318266, 7100.000291
TSOPF_RS_b39_c19, 38098, 38098, 684206, 0.078438, 4466.096536, 0.128000, 2736.824061, 0.105984, 3305.343108
TSOPF_RS_b39_c30, 60098, 60098, 1079986, 0.146330, 3778.817211, 0.262752, 2104.466623, 0.289859, 1907.660108
TSOPF_RS_b39_c7, 14098, 14098, 252446, 0.027482, 4703.232307, 0.044822, 2883.655263, 0.036269, 3563.733849
TSOPF_RS_b678_c1, 18696, 18696, 4396289, 0.204112, 11027.768628, 0.733795, 3067.477037, 0.192717, 11679.832554
TSOPF_RS_b678_c2, 35696, 35696, 8781949, 0.482918, 9310.802480, 1.486746, 3024.295317, 0.474701, 9471.983264
tsyl201, 20685, 20685, 1237821, 0.258765, 4857.453662, 0.512819, 2451.035368, 0.219238, 5733.201763
tube1, 21498, 21498, 459277, 0.093491, 4912.683325, 0.167834, 2736.595445, 0.119226, 3852.299188
tube2, 21498, 21498, 459277, 0.095130, 4828.073340, 0.168650, 2723.354616, 0.118582, 3873.194149
turon_m, 189924, 189924, 912345, 0.627610, 1379.406131, 0.908083, 953.358191, 0.584602, 1480.886338
usroads, 129164, 129164, 165435, 0.317414, 533.704326, 0.468890, 361.290661, 0.306586, 552.555114
usroads-48, 126146, 126146, 161950, 0.308838, 536.969511, 0.459238, 361.112670, 0.298800, 555.009386
vanbody, 47072, 47072, 1191985, 0.310698, 3850.984892, 0.451392, 2650.671303, 0.384630, 3110.757222
venturiLevel3, 4026819, 4026819, 8054237, 12.193977, 676.361654, 17.044546, 483.881380, 11.760307, 701.302991
vibrobox, 12328, 12328, 177578, 0.078131, 2246.579324, 0.084275, 2082.794704, 0.062643, 2802.026965
viscorocks, 37762, 37762, 1162244, 0.156672, 3798.182985, 0.182675, 3257.524531, 0.142950, 4162.764936
vsp_barth5_1Ksep_50in_5Kout, 32212, 32212, 101805, 0.056304, 1851.525942, 0.076890, 1355.818241, 0.050278, 2073.421532
vsp_bcsstk30_500sep_10in_1Kout, 58348, 58348, 2016578, 0.887194, 2327.536975, 0.993168, 2079.180893, 1.003930, 2056.893074
vsp_befref_fxm_2_4_air02, 14109, 14109, 98224, 0.074752, 1345.534193, 0.048848, 2059.068450, 0.042198, 2383.535373
vsp_bump2_e18_aa01_model1_crew1, 56438, 56438, 300801, 0.177254, 1737.729610, 0.213299, 1444.075832, 0.142045, 2168.472452
vsp_c-30_data_data, 11023, 11023, 62184, 0.063898, 996.538496, 0.033178, 1919.259299, 0.025974, 2451.506823
vsp_c-60_data_cti_cs4, 85830, 85830, 241080, 0.208179, 1185.833677, 0.327987, 752.669386, 0.204691, 1206.040736
