dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
144, 144649, 144649, 1074393, 0.658534, 1670.646908, 0.751718, 1463.551330, 0.549050, 2003.786908
2D_27628_bjtcai, 27628, 27628, 442898, 0.061549, 3684.292442, 0.089805, 2525.074162, 0.046970, 4827.884059
2D_54019_highK, 54019, 54019, 996414, 0.159334, 3201.844527, 0.206234, 2473.719006, 0.123187, 4141.371697
333SP, 3712815, 3712815, 11108633, 21.802902, 521.730551, 23.206717, 490.170162, 17.338036, 656.085872
3D_28984_Tetra, 28984, 28984, 599170, 0.142541, 2152.191083, 0.105050, 2920.287609, 0.065142, 4709.299080
3D_51448_3D, 51448, 51448, 1056610, 0.257536, 2100.616253, 0.209715, 2579.614264, 0.120733, 4480.839814
3Dspectralwave, 680943, 680943, 17165766, 8.839270, 1949.154345, 7.372595, 2336.911368, 6.610822, 2606.196445
3Dspectralwave2, 292008, 292008, 7307376, 3.217437, 2279.219444, 3.113779, 2355.094667, 2.768077, 2649.220274
3dtube, 45330, 45330, 1629474, 0.307299, 5354.300856, 0.685350, 2400.775388, 0.405811, 4054.526729
598a, 110971, 110971, 741934, 0.455168, 1669.142825, 0.585190, 1298.279034, 0.416358, 1824.726903
a0nsdsil, 80016, 80016, 200021, 0.309859, 586.645178, 0.330445, 550.099182, 0.208659, 871.168928
a2nnsnsl, 80016, 80016, 196115, 0.303616, 585.534571, 0.330934, 537.199098, 0.212582, 836.276503
a5esindl, 60008, 60008, 145004, 0.375568, 347.638896, 0.201216, 648.865120, 0.150528, 867.360534
adaptive, 6815744, 6815744, 13624320, 24.932659, 559.559378, 34.428825, 405.221581, 34.428825, 405.221581
af_0_k101, 503625, 503625, 9027150, 1.929318, 4657.575167, 3.199181, 2808.827065, 4.890829, 1837.305320
af_1_k101, 503625, 503625, 9027150, 1.929008, 4658.324907, 3.255306, 2760.400108, 4.889395, 1837.844015
af_2_k101, 503625, 503625, 9027150, 1.928294, 4660.048656, 3.199709, 2808.363607, 4.891545, 1837.036091
af_3_k101, 503625, 503625, 9027150, 1.928806, 4658.811814, 3.263990, 2753.055154, 4.890624, 1837.382278
af_4_k101, 503625, 503625, 9027150, 1.929011, 4658.317076, 3.305984, 2718.084929, 4.889098, 1837.955865
af_5_k101, 503625, 503625, 9027150, 1.928822, 4658.773115, 3.198976, 2809.006931, 4.890727, 1837.343727
af_shell1, 504855, 504855, 9046865, 1.981776, 4544.158264, 3.228262, 2789.582469, 4.889600, 1841.767019
af_shell10, 1508065, 1508065, 27090195, 5.845395, 4613.585414, 9.831424, 2743.064538, 14.731468, 1830.654625
af_shell2, 504855, 504855, 9046865, 1.981133, 4545.633486, 3.228365, 2789.493801, 4.893594, 1840.263974
af_shell3, 504855, 504855, 9046865, 1.981152, 4545.589723, 3.231021, 2787.200929, 4.892467, 1840.687691
af_shell4, 504855, 504855, 9046865, 1.981251, 4545.362169, 3.230925, 2787.283528, 4.902362, 1836.972584
af_shell5, 504855, 504855, 9046865, 1.981683, 4544.371263, 3.230317, 2787.808196, 4.896666, 1839.109464
af_shell6, 504855, 504855, 9046865, 1.981206, 4545.465003, 3.231475, 2786.809062, 4.894122, 1840.065455
af_shell7, 504855, 504855, 9046865, 1.981418, 4544.980193, 3.231200, 2787.046275, 4.898406, 1838.455938
af_shell8, 504855, 504855, 9046865, 1.981206, 4545.465003, 3.229831, 2788.228007, 4.893101, 1840.449335
af_shell9, 504855, 504855, 9046865, 1.981440, 4544.929005, 3.230822, 2787.372056, 4.894822, 1839.802025
ak2010, 45292, 45292, 108549, 0.108442, 1025.014134, 0.125338, 886.838230, 0.096768, 1148.666693
Andrews, 60000, 60000, 410077, 0.225997, 1722.143148, 0.290176, 1341.250946, 0.213686, 1821.355302
AS365, 3799275, 3799275, 11368076, 28.088116, 414.442522, 28.782665, 404.441681, 23.298548, 499.641014
as-caida, 31379, 31379, 106762, 0.096666, 565.476678, 0.050755, 1076.976172, 0.036557, 1495.266057
ASIC_680k, 682862, 682862, 3871773, 14.026407, 141.329693, 3.646458, 543.636579, 2.681139, 739.367724
as-Skitter, 1696415, 1696415, 11095298, 12.245789, 927.795306, 12.591924, 902.291467, 10.047181, 1130.823185
astro-ph, 16706, 16706, 121251, 0.058061, 2138.465571, 0.067261, 1845.964079, 0.045494, 2729.149522
audikw_1, 943695, 943695, 39297771, 14.878924, 2672.084632, 15.869235, 2505.334699, 12.580569, 3160.250082
auto, 448695, 448695, 3314611, 3.971174, 854.699759, 3.160371, 1073.975631, 1.663898, 2039.886252
barrier2-1, 113076, 113076, 3805068, 0.945222, 2061.096798, 0.936550, 2080.181441, 0.915648, 2127.667893
barrier2-10, 115625, 115625, 3897557, 0.994918, 2005.741476, 0.959776, 2079.182166, 0.940467, 2121.870124
barrier2-11, 115625, 115625, 3897557, 0.995405, 2004.761432, 0.958870, 2081.145858, 0.940237, 2122.390094
barrier2-12, 115625, 115625, 3897557, 0.996557, 2002.444082, 0.959488, 2079.806274, 0.939725, 2123.546305
barrier2-2, 113076, 113076, 3805068, 0.944026, 2063.709704, 0.936550, 2080.181441, 0.915558, 2127.875999
barrier2-3, 113076, 113076, 3805068, 0.943005, 2065.943692, 0.936730, 2079.783505, 0.915766, 2127.392698
barrier2-4, 113076, 113076, 3805068, 0.943104, 2065.726426, 0.936342, 2080.643527, 0.915866, 2127.162316
barrier2-9, 115625, 115625, 3897557, 0.996861, 2001.833359, 0.959693, 2079.362540, 0.940438, 2121.935106
bauru5727, 40366, 40366, 145019, 0.081306, 913.217893, 0.091853, 808.355612, 0.075443, 984.180493
bbmat, 38744, 38744, 1771722, 0.331981, 2732.452185, 0.363213, 2497.493656, 0.173658, 5223.622141
bcsstk17, 10974, 10974, 219812, 0.061850, 3548.427148, 0.083114, 2640.588341, 0.054170, 4051.512197
bcsstk18, 11948, 11948, 80519, 0.038979, 1958.328568, 0.040118, 1902.719984, 0.027853, 2740.624952
bcsstk25, 15439, 15439, 133840, 0.056432, 2288.548796, 0.055680, 2319.457439, 0.039014, 3310.249424
bcsstk29, 13992, 13992, 316740, 0.101683, 3119.274943, 0.118861, 2668.481472, 0.074650, 4248.888765
bcsstk30, 28924, 28924, 1036208, 0.280778, 3726.322590, 0.414822, 2522.206937, 0.197325, 5302.262571
bcsstk31, 35588, 35588, 608502, 0.197837, 3057.494756, 0.223334, 2708.427232, 0.148554, 4071.829969
bcsstk32, 44609, 44609, 1029655, 0.271667, 3797.024202, 0.383514, 2689.674966, 0.340448, 3029.910347
bcsstk35, 30237, 30237, 740200, 0.160870, 4615.413833, 0.270045, 2749.482479, 0.170768, 4347.907463
bcsstk36, 23052, 23052, 583096, 0.124416, 4704.279623, 0.214938, 2723.058706, 0.134656, 4346.539920
bcsstk37, 25503, 25503, 583240, 0.143549, 4069.558435, 0.200054, 2920.106747, 0.133757, 4367.480416
bcsstk39, 46772, 46772, 1068033, 0.209587, 5103.930803, 0.350838, 3049.034915, 0.400266, 2672.521777
bcsstm36, 23052, 23052, 166389, 0.056730, 2893.555813, 0.058675, 2797.609087, 0.040038, 4099.820881
belgium_osm, 1441295, 1441295, 1549970, 4.405351, 360.282180, 5.439491, 291.786346, 3.742384, 424.106478
BenElechi1, 245874, 245874, 6698185, 1.311539, 5133.704040, 2.753117, 2445.611445, 2.616605, 2573.202472
blockqp1, 60012, 60012, 340022, 1.192566, 274.782937, 0.251456, 1303.197768, 0.181965, 1800.880671
bloweya, 30004, 30004, 80005, 0.204179, 376.162759, 0.054374, 1412.514053, 0.034611, 2219.067965
bloweybl, 30003, 30003, 70001, 0.201421, 305.033033, 0.052211, 1176.758983, 0.036064, 1703.638027
bmw3_2, 227362, 227362, 5757996, 1.514086, 3817.337252, 2.294477, 2518.996196, 2.250445, 2568.282757
bmw7st_1, 141347, 141347, 3740507, 0.921088, 4079.859242, 1.491037, 2520.333175, 1.453261, 2585.846598
bmwcra_1, 148770, 148770, 5396386, 1.180483, 4616.523820, 2.300006, 2369.440721, 1.665930, 3271.284100
bone010, 986703, 986703, 36326514, 8.726099, 4204.989737, 14.582579, 2516.232437, 10.841395, 3384.541978
boneS01, 127224, 127224, 3421188, 1.015603, 3385.335884, 1.337923, 2569.772106, 1.240339, 2771.949696
boneS10, 914898, 914898, 28191660, 10.884813, 2609.124498, 10.811495, 2626.818356, 9.273856, 3062.354104
boyd1, 93279, 93279, 652246, 2.964685, 209.179154, 0.539229, 1150.068854, 0.411018, 1508.816798
boyd2, 466316, 466316, 890091, 4.129485, 186.028833, 2.428435, 316.336744, 1.903002, 403.679779
brack2, 62631, 62631, 366559, 0.214854, 1747.026839, 0.245043, 1531.796869, 0.160134, 2344.008648
brainpc2, 27607, 27607, 96601, 0.275632, 333.235038, 0.058554, 1568.652303, 0.036317, 2529.139123
bratu3d, 27792, 27792, 88627, 0.042496, 2093.927773, 0.059802, 1487.979393, 0.034595, 2572.135756
Bump_2911, 2911419, 2911419, 65320659, 19.348480, 3379.991996, 23.918518, 2734.187298, 29.592270, 2209.959172
bundle1, 10581, 10581, 390741, 0.087562, 4507.698645, 0.128614, 3068.873364, 0.072083, 5475.635340
bundle_adj, 513351, 513351, 10360701, 3.198362, 3234.944464, 4.124150, 2508.764458, 3.530957, 2930.231985
c-42, 10471, 10471, 60378, 0.048912, 1154.438977, 0.033280, 1696.692303, 0.025914, 2179.007235
c-43, 11125, 11125, 67400, 0.077312, 819.039750, 0.036182, 1750.066302, 0.026317, 2406.128339
c-45, 13206, 13206, 93829, 0.075469, 1183.527777, 0.043792, 2039.628771, 0.030794, 2900.583897
c-46, 14913, 14913, 72655, 0.053226, 1254.344960, 0.040851, 1634.303634, 0.029866, 2235.457080
c-47, 15343, 15343, 113372, 0.076390, 1416.896828, 0.059184, 1828.827162, 0.041562, 2604.262361
c-48, 18354, 18354, 92217, 0.050278, 1691.242316, 0.049872, 1705.024095, 0.031405, 2707.642211
c-49, 21132, 21132, 89087, 0.062595, 1284.531455, 0.049869, 1612.340822, 0.036528, 2201.201913
c-50, 22401, 22401, 108013, 0.073728, 1344.618035, 0.057318, 1729.566731, 0.039526, 2508.095857
c-51, 23196, 23196, 113123, 0.071066, 1462.896280, 0.060109, 1729.557106, 0.040141, 2589.923554
c-52, 23948, 23948, 113332, 0.074547, 1392.280194, 0.060198, 1724.141968, 0.037792, 2746.364086
c-53, 30235, 30235, 201224, 0.135875, 1402.559513, 0.085085, 2239.801371, 0.057139, 3335.241937
c-54, 31793, 31793, 211743, 0.094310, 2126.454876, 0.095027, 2110.414818, 0.055536, 3611.113675
c-55, 32780, 32780, 218115, 0.128602, 1606.250638, 0.104243, 1981.581626, 0.068608, 3010.820988
c-56, 35910, 35910, 208405, 0.094413, 2065.618272, 0.098304, 1983.854217, 0.059834, 3259.386132
c-57, 37833, 37833, 221515, 0.291030, 712.849445, 0.105882, 1959.366619, 0.077210, 2686.982834
c-58, 37595, 37595, 295076, 0.172851, 1636.720925, 0.144141, 1962.727947, 0.094413, 2996.513089
c-59, 41282, 41282, 260909, 0.148787, 1653.599444, 0.139341, 1765.702812, 0.096666, 2545.211787
c-60, 43640, 43640, 171109, 0.116019, 1317.643410, 0.124182, 1231.027361, 0.093005, 1643.699442
c-61, 43618, 43618, 176817, 0.126749, 1252.305281, 0.125235, 1267.440720, 0.092467, 1716.589133
c-62, 41731, 41731, 300537, 0.200688, 1427.009137, 0.156262, 1832.709725, 0.106598, 2686.565775
c-62ghs, 41731, 41731, 300537, 0.201216, 1423.264587, 0.156045, 1835.265300, 0.106611, 2686.243142
c-63, 44234, 44234, 239469, 0.148042, 1503.418222, 0.144077, 1544.790330, 0.100864, 2206.619178
c-64, 51035, 51035, 384438, 0.331366, 1109.148654, 0.192000, 1914.242709, 0.130045, 2826.215341
c-64b, 51035, 51035, 384438, 0.358707, 1024.608936, 0.192208, 1912.171108, 0.136090, 2700.680980
c-65, 48066, 48066, 204297, 0.149018, 1238.715029, 0.147046, 1255.320342, 0.107930, 1710.284641
c-66, 49989, 49989, 274498, 0.200797, 1272.388756, 0.166800, 1531.724140, 0.115405, 2213.873180
c-66b, 49989, 49989, 274498, 0.199955, 1277.744127, 0.166707, 1532.576728, 0.115402, 2213.934469
c-67b, 57975, 57975, 294955, 0.176720, 1541.142604, 0.194429, 1400.773537, 0.134963, 2017.962785
c-68, 64810, 64810, 315408, 0.186982, 1549.852093, 0.242688, 1194.105543, 0.166707, 1738.347606
c-69, 67458, 67458, 345714, 0.218995, 1458.811221, 0.262822, 1215.545755, 0.175805, 1817.200836
c-70, 68924, 68924, 363955, 0.224666, 1501.791288, 0.274816, 1227.733633, 0.185203, 1821.787322
c-71, 76638, 76638, 468096, 0.309248, 1423.102675, 0.339450, 1296.485996, 0.229443, 1918.085445
c-73, 169422, 169422, 724348, 1.397690, 468.622128, 0.876237, 747.501444, 0.669248, 978.692920
c-73b, 169422, 169422, 724348, 1.413008, 463.541804, 0.877139, 746.732443, 0.668877, 979.236082
ca-AstroPh, 18772, 18772, 198110, 0.092467, 2193.576948, 0.107792, 1881.715967, 0.091034, 2228.121442
ca-CondMat, 23133, 23133, 93497, 0.054784, 1747.065423, 0.066355, 1442.407437, 0.047821, 2001.456080
cage14, 1505785, 1505785, 27130349, 14.541311, 955.260366, 11.595437, 1197.948715, 7.903100, 1757.631519
ca-HepPh, 12008, 12008, 118521, 0.046797, 2593.107293, 0.071373, 1700.215183, 0.056442, 2149.994364
caidaRouterLevel, 192244, 192244, 609066, 0.569635, 1094.882450, 0.874803, 712.941621, 0.579866, 1075.565761
cant, 62451, 62451, 2034917, 0.763930, 2685.823512, 0.712806, 2878.453464, 0.580266, 3535.932570
case39, 40216, 40216, 526139, 0.557645, 956.856270, 0.202323, 2637.294806, 0.193984, 2750.669804
case9, 14454, 14454, 75801, 0.150630, 502.963962, 0.039424, 1921.714325, 0.030310, 2499.526918
c-big, 345241, 345241, 1343126, 1.771827, 676.475495, 1.984445, 603.996456, 1.471088, 814.769483
cbuckle, 13681, 13681, 345098, 0.114586, 3022.855168, 0.122541, 2826.615232, 0.086493, 4004.676426
ccc, 49152, 49152, 73728, 0.107997, 699.071396, 0.137706, 548.252735, 0.107331, 703.406548
cfd1, 70656, 70656, 949510, 0.286326, 3269.423779, 0.386765, 2420.391917, 0.276790, 3382.062215
Chebyshev4, 68121, 68121, 5377761, 2.134592, 1289.901564, 1.303450, 2112.405088, 0.926106, 2973.109814
circuit_4, 80209, 80209, 307604, 0.324506, 485.332925, 0.297574, 529.256709, 0.200909, 783.904164
circuit5M_dc, 3523317, 3523317, 19194193, 20.760677, 473.367333, 18.951466, 518.557636, 14.117068, 696.137929
citationCiteseer, 268495, 268495, 1156647, 1.031050, 1148.738616, 1.534029, 772.088839, 1.014858, 1167.066743
cit-Patents, 3774768, 3774768, 16518948, 20.284313, 416.957724, 22.594944, 374.318328, 15.673114, 539.631203
ckt11752_dc_1, 49702, 49702, 333029, 0.162272, 1050.771838, 0.151750, 1123.627026, 0.111747, 1525.862303
ckt11752_tr_0, 49702, 49702, 333029, 0.163021, 1045.945342, 0.151962, 1122.065358, 0.112026, 1522.070456
cnr-2000, 325557, 325557, 3216152, 1.074061, 1533.125304, 1.211981, 1358.659970, 1.097830, 1499.930989
CO, 221119, 221119, 3943588, 1.552179, 2528.716452, 1.763635, 2225.528876, 2.045558, 1918.801862
coAuthorsCiteseer, 227320, 227320, 814134, 0.758486, 1099.127421, 1.045504, 797.388836, 0.731741, 1139.301248
coAuthorsDBLP, 299067, 299067, 977676, 1.097626, 912.096247, 1.428771, 700.700166, 1.023043, 978.590413
cond-mat-2003, 31163, 31163, 120029, 0.066355, 1852.299421, 0.076083, 1615.464309, 0.047718, 2575.729627
cond-mat-2005, 40421, 40421, 175693, 0.099040, 1816.535027, 0.114371, 1573.032591, 0.079946, 2250.400672
conf5_4-8x8-05, 49152, 49152, 1916928, 0.219120, 4479.130741, 0.430490, 2279.885888, 0.427213, 2297.372906
conf5_4-8x8-10, 49152, 49152, 1916928, 0.219430, 4472.794748, 0.429642, 2284.385824, 0.427638, 2295.086607
conf5_4-8x8-15, 49152, 49152, 1916928, 0.218931, 4482.993490, 0.431030, 2277.025236, 0.427725, 2294.622986
conf5_4-8x8-20, 49152, 49152, 1916928, 0.219136, 4478.803745, 0.429846, 2283.297422, 0.427606, 2295.258337
conf6_0-8x8-20, 49152, 49152, 1916928, 0.218829, 4485.091304, 0.430304, 2280.869176, 0.427622, 2295.172341
conf6_0-8x8-30, 49152, 49152, 1916928, 0.219034, 4480.897638, 0.429875, 2283.144444, 0.427213, 2297.372906
conf6_0-8x8-80, 49152, 49152, 1916928, 0.218704, 4487.650410, 0.430490, 2279.885888, 0.426803, 2299.577695
consph, 83334, 83334, 3046907, 0.631261, 4874.951644, 1.295462, 2375.495976, 0.877158, 3508.335456
cont-201, 80595, 80595, 239596, 0.195066, 1151.730667, 0.321638, 698.495716, 0.193098, 1163.468816
cont-300, 180895, 180895, 539396, 0.530022, 954.593346, 0.782029, 646.978511, 0.501338, 1009.211789
coPapersCiteseer, 434102, 434102, 16036720, 5.194218, 3161.515802, 6.372451, 2576.967831, 4.221133, 3890.330535
coPapersDBLP, 540486, 540486, 15245729, 6.283264, 2484.636345, 6.635552, 2352.724534, 5.089587, 3067.366062
copter1, 17222, 17222, 114143, 0.049664, 2175.917540, 0.057344, 1884.499950, 0.039629, 2726.925013
CoupCons3D, 416800, 416800, 22322336, 3.212458, 3557.723479, 4.462182, 2561.310908, 4.806861, 2377.650751
crankseg_1, 52804, 52804, 5333507, 1.306077, 4160.915703, 2.271846, 2392.096378, 0.934026, 5818.336963
crankseg_2, 63838, 63838, 7106348, 1.709568, 4237.453670, 3.036058, 2386.059851, 1.248160, 5803.915690
crplat2, 18010, 18010, 489478, 0.079155, 6215.692052, 0.186595, 2636.747076, 0.108320, 4542.137759
crystk02, 13965, 13965, 491274, 0.095411, 5197.654987, 0.199338, 2487.812093, 0.095200, 5209.185762
crystk03, 24696, 24696, 887937, 0.167219, 5361.843305, 0.358282, 2502.509659, 0.168019, 5336.313584
crystm02, 13965, 13965, 168435, 0.061030, 2708.934573, 0.086390, 1913.723749, 0.060134, 2749.297622
crystm03, 24696, 24696, 304233, 0.108202, 2762.345866, 0.143050, 2089.416851, 0.108266, 2760.712847
ct2010, 67578, 67578, 168176, 0.169472, 1016.169166, 0.232326, 741.251242, 0.156058, 1103.517087
ct20stif, 52329, 52329, 1375396, 0.384096, 3597.051380, 0.528384, 2614.789640, 0.428851, 3221.660525
Cube_Coup_dt0, 2164760, 2164760, 64685452, 13.568407, 4800.087975, 26.537777, 2454.220035, 23.148010, 2813.613136
Cube_Coup_dt6, 2164760, 2164760, 64685452, 13.565849, 4800.992866, 26.538895, 2454.116744, 23.147308, 2813.698454
CurlCurl_0, 11083, 11083, 62213, 0.025872, 2243.027738, 0.033075, 1754.535682, 0.018010, 3222.260120
CurlCurl_4, 2380515, 2380515, 14448191, 11.895807, 1141.252810, 10.984550, 1235.928947, 6.443725, 2106.875181
cvxqp3, 17500, 17500, 69981, 0.037274, 1682.170298, 0.045773, 1369.821034, 0.030579, 2050.431117
cyl6, 13681, 13681, 363961, 0.065843, 5553.973504, 0.141350, 2587.126678, 0.084582, 4323.492720
darcy003, 389874, 389874, 1167685, 1.445757, 744.133378, 2.238944, 480.510401, 1.525770, 705.110322
dawson5, 51537, 51537, 531157, 0.197939, 2614.529161, 0.222787, 2322.924515, 0.154317, 3353.606614
dblp-2010, 326186, 326186, 807700, 1.025514, 806.507917, 1.228186, 673.420066, 0.882074, 937.659631
dc3, 116835, 116835, 766396, 3.512925, 111.700294, 0.534323, 734.377135, 0.401651, 976.954034
de2010, 24115, 24115, 58028, 0.038701, 1535.386097, 0.048099, 1235.377580, 0.030106, 1973.741512
debr, 1048576, 1048576, 2097149, 4.512128, 475.935200, 5.947495, 361.073150, 4.467706, 480.667439
delaunay_n15, 32768, 32768, 98274, 0.054272, 1854.226347, 0.064512, 1559.904702, 0.035510, 2833.890246
delaunay_n16, 65536, 65536, 196575, 0.170394, 1181.340158, 0.229850, 875.758754, 0.154010, 1307.014590
delaunay_n17, 131072, 131072, 393176, 0.383376, 1050.175863, 0.602490, 668.247575, 0.357581, 1125.933547
delaunay_n18, 262144, 262144, 786396, 1.105194, 728.623015, 1.257779, 640.231205, 0.871712, 923.779285
delaunay_n19, 524288, 524288, 1572823, 2.905293, 554.357447, 2.541158, 633.793902, 1.852147, 869.569476
delaunay_n20, 1048576, 1048576, 3145686, 6.510182, 494.791447, 5.121741, 628.923376, 3.781530, 851.819975
delaunay_n21, 2097152, 2097152, 6291408, 13.641215, 472.274761, 10.285261, 626.372236, 7.607846, 846.810218
delaunay_n22, 4194304, 4194304, 12582869, 27.726131, 464.718907, 20.661594, 623.613942, 15.272169, 843.682220
denormal, 89400, 89400, 622812, 0.237670, 2490.788477, 0.383366, 1544.179921, 0.214528, 2759.484636
dictionary28, 52652, 52652, 89038, 0.102944, 885.674813, 0.130970, 696.153266, 0.091363, 997.939153
dielFilterV2clx, 607232, 607232, 12958252, 7.244800, 1788.641179, 5.353894, 2420.359132, 5.903769, 2194.927641
dielFilterV2real, 1157456, 1157456, 24848204, 14.938009, 1663.671668, 10.433844, 2381.859002, 11.307510, 2197.826276
dielFilterV3clx, 420408, 420408, 16653308, 6.100605, 2760.011428, 6.621491, 2542.892210, 5.864672, 2871.045174
Dubcova1, 16129, 16129, 134569, 0.046387, 2792.593905, 0.063078, 2053.644562, 0.042381, 3056.587073
Dubcova3, 146689, 146689, 1891669, 0.714637, 2605.469353, 1.116058, 1668.340693, 0.735846, 2530.370941
e40r0100, 17281, 17281, 553562, 0.106394, 2663.917240, 0.112406, 2521.420061, 0.080896, 3503.556873
EAT_RS, 23219, 23219, 325592, 0.106189, 1569.874669, 0.101376, 1644.404088, 0.085811, 1942.673082
ecology1, 1000000, 1000000, 2998000, 2.758269, 927.375917, 3.680358, 695.027943, 2.469069, 1035.998707
ecology2, 999999, 999999, 2997995, 2.764595, 925.252048, 3.680665, 694.968704, 2.465792, 1037.373511
email-Enron, 36692, 36692, 183831, 0.128000, 1470.648033, 0.114074, 1650.188533, 0.080787, 2330.108540
Emilia_923, 923136, 923136, 20964171, 6.079376, 3453.424501, 7.477447, 2807.731861, 9.526890, 2203.727125
engine, 143571, 143571, 2424822, 0.869274, 2771.865460, 0.979251, 2460.563123, 0.882586, 2730.057367
enron, 69244, 69244, 276143, 0.174490, 810.278731, 0.175616, 805.081623, 0.131686, 1073.650844
eu-2005, 862664, 862664, 19235140, 4.392038, 2242.328255, 4.272026, 2305.321273, 4.133069, 2382.827880
ex11, 16614, 16614, 1096948, 0.170803, 3288.213406, 0.213622, 2629.112714, 0.112230, 5004.324984
ex19, 12005, 12005, 259879, 0.052803, 2519.886044, 0.059597, 2232.637427, 0.045056, 2953.170431
F1, 343791, 343791, 13590452, 4.189901, 3279.457427, 5.560035, 2471.315568, 4.932906, 2785.498655
F2, 71505, 71505, 2682895, 0.774749, 3498.777813, 1.172173, 2312.520684, 0.794496, 3411.815642
Fault_639, 638802, 638802, 14626683, 4.595917, 3187.755038, 5.240739, 2795.532577, 6.590397, 2223.031030
fcondp2, 201822, 201822, 5748069, 1.165414, 4961.917108, 2.434867, 2374.950710, 2.156618, 2681.370094
fem_hifreq_circuit, 491100, 491100, 20239237, 4.431565, 2338.336460, 4.399104, 2355.590937, 4.706278, 2201.843759
filter3D, 106437, 106437, 1406808, 0.680550, 2036.698060, 0.663683, 2088.459672, 0.583050, 2377.286062
finance256, 37376, 37376, 167936, 0.076800, 1989.973316, 0.095744, 1596.235263, 0.062173, 2458.148117
Flan_1565, 1564794, 1564794, 59485419, 11.943727, 5032.925663, 24.422195, 2461.363258, 17.705767, 3395.046197
flickr, 820878, 820878, 9837214, 3.775488, 1334.040448, 4.165734, 1209.067354, 3.784806, 1330.755917
foldoc, 13356, 13356, 120238, 0.031949, 1926.891092, 0.036643, 1680.034880, 0.023344, 2637.159734
Freescale1, 3428755, 3428755, 18920347, 20.096401, 482.037452, 21.037504, 460.473704, 16.188288, 598.409050
fullb, 199187, 199187, 5953632, 1.325568, 4522.239060, 2.481651, 2415.543179, 2.210202, 2712.212000
FullChip, 2987012, 2987012, 26621990, 86.640244, 157.322485, 19.835369, 687.179466, 16.325089, 834.939356
fxm4_6, 18892, 18892, 258368, 0.096154, 2650.926544, 0.097690, 2609.245315, 0.062976, 4047.512022
G2_circuit, 150102, 150102, 438388, 0.422781, 880.023615, 0.576698, 645.151108, 0.376832, 987.328782
G3_circuit, 1585478, 1585478, 4623152, 5.620595, 697.851881, 6.795549, 577.192940, 4.677632, 838.531717
Ga10As10H30, 113081, 113081, 3114357, 1.014342, 3086.930099, 1.406669, 2225.971166, 1.128442, 2774.803801
Ga19As19H42, 133123, 133123, 4508981, 1.581568, 2876.283345, 2.050141, 2218.890357, 1.460224, 3115.301276
Ga3As3H12, 61349, 61349, 3016148, 0.653200, 4680.227853, 1.345968, 2271.320681, 0.786838, 3885.327545
Ga41As41H72, 268096, 268096, 9378286, 3.604352, 2626.297104, 3.875738, 2442.399433, 2.958627, 3199.490608
GaAsH6, 61349, 61349, 1721579, 0.473766, 3654.725465, 0.815309, 2123.718387, 0.584160, 2964.061602
gas_sensor, 66917, 66917, 885141, 0.254451, 3427.466125, 0.329933, 2643.334814, 0.235712, 3699.951069
Ge87H76, 112985, 112985, 4002590, 1.537226, 2628.634188, 1.797034, 2248.596595, 1.325875, 3047.650246
Ge99H100, 112985, 112985, 4282190, 1.644851, 2630.702686, 1.926243, 2246.400775, 1.372467, 3152.799673
gearbox, 153746, 153746, 4617075, 1.257686, 3696.602554, 1.890515, 2459.206360, 1.668006, 2787.259724
Geo_1438, 1437960, 1437960, 32297325, 10.096951, 3202.573409, 11.664282, 2772.243227, 14.719693, 2196.800252
gridgena, 48962, 48962, 280523, 0.123290, 2126.594736, 0.155712, 1683.794530, 0.109533, 2393.684945
gsm_106857, 589446, 589446, 11174185, 7.958521, 1399.829027, 13.490377, 825.815944, 10.124063, 1100.404860
gupta1, 31802, 31802, 1098006, 0.477594, 2320.122151, 0.360448, 3074.161908, 0.340256, 3256.593628
gupta2, 62064, 62064, 2155175, 0.806400, 2697.324401, 0.737178, 2950.608376, 0.727229, 2990.974062
gupta3, 16783, 16783, 4670105, 1.483133, 3218.588718, 1.797734, 2655.339125, 1.335290, 3574.950871
gyro, 17361, 17361, 519260, 0.146723, 3563.399735, 0.205312, 2546.531299, 0.110880, 4715.308286
gyro_k, 17361, 17361, 519260, 0.146534, 3567.991032, 0.205517, 2543.993630, 0.110688, 4723.487928
gyro_m, 17361, 17361, 178896, 0.079645, 2188.475251, 0.087773, 1985.816505, 0.070797, 2461.985186
H2O, 67024, 67024, 1141880, 0.454042, 2499.702430, 0.522342, 2172.844558, 0.538829, 2106.362592
halfb, 224617, 224617, 6306219, 1.380966, 4592.844878, 2.589907, 2448.954230, 2.440090, 2599.316162
Hamrle3, 1447360, 1447360, 5514242, 5.127149, 550.655345, 6.846976, 412.341452, 5.103520, 553.204847
hangGlider_4, 15561, 15561, 79088, 0.270131, 283.419250, 0.046182, 1657.782706, 0.033075, 2314.736945
hangGlider_5, 16011, 16011, 82070, 0.276752, 287.210042, 0.046797, 1698.533964, 0.033894, 2345.105823
helm2d03, 392257, 392257, 1567096, 1.451542, 967.157929, 2.102346, 667.763988, 1.526554, 919.634064
helm3d01, 32226, 32226, 230335, 0.104006, 2109.133023, 0.113357, 1935.158002, 0.084458, 2597.318983
