dataSet,num_nodes1,num_edges1,time
t2dah,11446,93781,0.0173
t2dah_a,11446,93781,0.0172
t2dah_e,11446,93781,0.0171
t3dh,79172,2215638,0.2983
t3dh_a,79172,2215638,0.2997
t3dh_e,79172,2215638,0.2976
t3dl,20361,265113,0.0418
t3dl_a,20361,265113,0.0417
tandem_vtx,18455,135902,0.0317
ted_A,10606,424587,0.0537
ted_AB,10606,522387,0.0622
ted_AB_unscaled,10606,522387,0.0623
ted_A_unscaled,10606,424587,0.0539
ted_B_unscaled,10606,77592,0.0157
thread,29737,2249892,0.2461
tmt_sym,726714,2903837,1.0818
torso1,116159,8516500,0.9793
transient,178867,961790,9.5072
trdheim,22099,978711,0.1071
Trefethen_20000,20001,287233,0.0462
Trefethen_20000b,20000,287217,0.0459
troll,213454,6099282,0.7503
TSOPF_FS_b162_c1,10799,305732,0.4071
TSOPF_FS_b162_c3,30799,904612,1.8096
TSOPF_FS_b162_c4,40799,1204322,2.4313
TSOPF_FS_b300,29215,2203949,1.6147
TSOPF_FS_b300_c1,29215,2203949,1.6263
TSOPF_FS_b300_c2,56815,4391071,3.3249
TSOPF_FS_b300_c3,84415,6578753,4.9689
TSOPF_FS_b39_c19,76217,998359,4.8929
TSOPF_FS_b39_c30,120217,1575639,7.8606
TSOPF_FS_b39_c7,28217,368599,1.5369
TSOPF_FS_b9_c6,14455,75801,0.5738
TSOPF_RS_b162_c3,15375,610299,0.9002
TSOPF_RS_b162_c4,20375,812749,1.2994
TSOPF_RS_b2052_c1,25627,6761100,1.6559
TSOPF_RS_b2383,38121,16171169,3.1029
TSOPF_RS_b2383_c1,38121,16171169,3.1037
TSOPF_RS_b300_c1,14539,1474325,0.8563
TSOPF_RS_b300_c2,28339,2943887,1.8134
TSOPF_RS_b300_c3,42139,4413449,2.7209
TSOPF_RS_b39_c19,38099,684206,2.5443
TSOPF_RS_b39_c30,60099,1079986,4.0418
TSOPF_RS_b39_c7,14099,252446,0.6361
TSOPF_RS_b678_c1,18697,4396289,1.1725
TSOPF_RS_b678_c2,35697,8781949,2.3757
tsyl201,20686,1237821,0.1372
tube1,21499,459277,0.0559
tube2,21499,459277,0.0555
turon_m,189925,912345,0.3045
usroads,129165,165435,0.1884
usroads-48,126147,161950,0.1843
vanbody,47073,1191985,0.1513
venturiLevel3,4026820,8054237,6.3561
vibrobox,12329,177578,0.0295
viscorocks,37763,1162244,0.1371
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0467
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.342
vsp_befref_fxm_2_4_air02,14110,98224,0.1305
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.1305
vsp_c-30_data_data,11024,62184,0.1687
vsp_c-60_data_cti_cs4,85831,241080,0.1193
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.2921
vsp_mod2_pgp2_slptsk,101365,389368,0.3829
vsp_model1_crew1_cr42_south31,45102,189976,2.2853
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.2069
vsp_p0291_seymourl_iiasa,10499,53868,0.021
vsp_sctap1-2b_and_seymourl,40175,140831,0.2622
vsp_south31_slptsk,39669,189914,2.2786
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.2048
vt2010,32581,77799,0.0439
wathen100,30402,251001,0.0501
wathen120,36442,301101,0.0602
web-Google,916429,5105039,3.6938
web-NotreDame,325730,1497134,1.6231
wikipedia-20051105,1634990,19753078,18.8252
wikipedia-20060925,2983495,37269096,40.8761
wikipedia-20061104,3148441,39383235,43.3973
wikipedia-20070206,3566908,45030389,49.0752
wiki-Talk,2394386,5021410,2.7228
windscreen,22693,752541,0.0857
wing_nodal,10938,75488,0.0171
wy2010,86205,213793,0.1265
x104,108385,5138004,0.58
Zd_Jac2,22836,1642833,0.3379
Zd_Jac3,22836,1916152,0.3678
Zd_Jac6,22836,1711983,0.3445
