dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
ship_003,121729,4103881,0.1872,0.4833,0.192,0.2715,0.3592,0.3951,0.4382,0.4542,0.4928,0.4961,0,0.97
shipsec1,140875,3977139,0.2189,0.4707,0.2212,0.383,0.439,0.4962,0.5269,0.5043,0.4818,0.4775,0,0.99
shipsec5,179861,5146478,0.2704,0.6065,0.2749,0.4584,0.5747,0.6418,0.655,0.6494,0.6213,0.6204,0,0.98
shipsec8,114920,3384159,0.1726,0.4003,0.1757,0.2643,0.3258,0.3757,0.4032,0.4082,0.4137,0.409,0,0.98
Si10H16,17078,446500,0.0327,0.0544,0.035,0.0499,0.0506,0.0549,0.0597,0.0638,0.0671,0.0573,0,0.93
Si34H36,97570,2626974,0.2031,0.3263,0.2064,0.3908,0.3945,0.4021,0.4116,0.4089,0.4142,0.3408,0,0.98
Si41Ge41H72,185640,7598452,0.4596,0.9069,0.4635,0.7772,0.7912,0.8328,0.8929,0.9574,1.0335,0.8933,0,0.99
Si5H12,19897,379247,0.0333,0.0486,0.035,0.0523,0.053,0.0548,0.0565,0.0579,0.0605,0.0507,0,0.95
Si87H76,240370,5451000,0.4679,0.6757,0.4698,0.9406,0.9444,0.9561,0.9636,0.9691,0.9713,0.6781,0,1.0
sinc15,11533,568526,0.0527,0.0635,0.055,0.055,0.0556,0.0556,0.0555,0.0564,0.0564,0.0573,0,0.96
SiO,33402,675528,0.0526,0.0831,0.0548,0.0826,0.0834,0.0858,0.0908,0.0949,0.0991,0.09,0,0.96
SiO2,155332,5719417,0.349,0.7004,0.3515,0.6468,0.6586,0.6775,0.6914,0.7041,0.7246,0.5977,0,0.99
skirt,12599,104559,0.0098,0.0183,0.0122,0.0236,0.0277,0.0269,0.0244,0.0227,0.0211,0.0211,0,0.8
smallworld,100001,499998,0.1065,0.1637,0.1123,0.2679,0.2988,0.2976,0.2554,0.163,0.1641,0.164,0,0.95
sme3Dc,42931,3148656,0.3891,0.3626,0.3917,0.3491,0.3701,0.3675,0.3657,0.3652,0.3647,0.3652,2,1.04
smt,25711,1889447,0.0622,0.2076,0.0646,0.0728,0.0802,0.1055,0.117,0.1417,0.1612,0.1711,0,0.96
