dataSet,num_nodes1,num_edges1,time
bloweybl,30004,70001,0.0044
bmw3_2,227363,5757996,0.1386
bmw7st_1,141348,3740507,0.0752
bmwcra_1,148771,5396386,0.1196
bone010,986704,36326514,0.7587
boneS01,127225,3421188,0.0537
boneS10,914899,28191660,0.6214
boyd1,93280,652246,0.0225
boyd2,466317,890091,0.0935
brack2,62632,366559,0.0099
brainpc2,27608,96601,0.0042
bratu3d,27793,88627,0.0043
Bump_2911,2911420,65320659,1.6387
bundle1,10582,390741,0.0083
bundle_adj,513352,10360701,0.2759
c-42,10472,60378,0.0033
c-43,11126,67400,0.0034
c-45,13207,93829,0.0039
c-46,14914,72655,0.0036
c-47,15344,113372,0.0049
c-48,18355,92217,0.0042
c-49,21133,89087,0.0044
c-50,22402,108013,0.0047
c-51,23197,113123,0.0048
c-52,23949,113332,0.0048
c-53,30236,201224,0.006
c-54,31794,211743,0.0065
c-55,32781,218115,0.0075
c-56,35911,208405,0.0067
c-57,37834,221515,0.0064
c-58,37596,295076,0.0098
c-59,41283,260909,0.0085
c-60,43641,171109,0.0068
c-61,43619,176817,0.007
c-62,41732,300537,0.0104
c-62ghs,41732,300537,0.0104
c-63,44235,239469,0.0081
c-64,51036,384438,0.0093
c-64b,51036,384438,0.0093
c-65,48067,204297,0.0076
c-66,49990,274498,0.0085
c-66b,49990,274498,0.0084
c-67b,57976,294955,0.0085
c-68,64811,315408,0.0105
c-69,67459,345714,0.0105
c-70,68925,363955,0.011
c-71,76639,468096,0.0144
c-73,169423,724348,0.0194
c-73b,169423,724348,0.0194
ca-AstroPh,18773,198110,0.0078
ca-CondMat,23134,93497,0.0051
cage14,1505786,27130349,1.0065
cage15,5154860,99199551,4.7255
ca-HepPh,12009,118521,0.0055
caidaRouterLevel,192245,609066,0.0228
cant,62452,2034917,0.0317
case39,40217,526139,0.0107
case9,14455,75801,0.0033
c-big,345242,1343126,0.0944
cbuckle,13682,345098,0.0073
ccc,49153,73728,0.0051
cfd1,70657,949510,0.0187
Chebyshev4,68122,5377761,0.1361
circuit_4,80210,307604,0.0093
circuit5M,5558327,59524291,5.1386
circuit5M_dc,3523318,19194193,1.8127
citationCiteseer,268496,1156647,0.0413
cit-Patents,3774769,16518948,1.7968
ckt11752_dc_1,49703,333029,0.0093
ckt11752_tr_0,49703,333029,0.0093
cnr-2000,325558,3216152,0.1221
CO,221120,3943588,0.1138
coAuthorsCiteseer,227321,814134,0.0202
coAuthorsDBLP,299068,977676,0.028
cond-mat-2003,31164,120029,0.0051
cond-mat-2005,40422,175693,0.0066
conf5_4-8x8-05,49153,1916928,0.0344
conf5_4-8x8-10,49153,1916928,0.0343
conf5_4-8x8-15,49153,1916928,0.0343
conf5_4-8x8-20,49153,1916928,0.0342
conf6_0-8x8-20,49153,1916928,0.0343
conf6_0-8x8-30,49153,1916928,0.0344
conf6_0-8x8-80,49153,1916928,0.0344
consph,83335,3046907,0.0477
cont-201,80596,239596,0.009
cont-300,180896,539396,0.0175
coPapersCiteseer,434103,16036720,0.3908
coPapersDBLP,540487,15245729,0.3963
copter1,17223,114143,0.0046
CoupCons3D,416801,22322336,0.5661
crankseg_1,52805,5333507,0.1275
crankseg_2,63839,7106348,0.1751
crplat2,18011,489478,0.0097
crystk02,13966,491274,0.0096
crystk03,24697,887937,0.0159
crystm02,13966,168435,0.0056
crystm03,24697,304233,0.0086
ct2010,67579,168176,0.0077
ct20stif,52330,1375396,0.022
Cube_Coup_dt0,2164761,64685452,1.4377
Cube_Coup_dt6,2164761,64685452,1.4406
CurlCurl_0,11084,62213,0.0031
CurlCurl_4,2380516,14448191,0.8394
cvxqp3,17501,69981,0.0043
cyl6,13682,363961,0.0077
darcy003,389875,1167685,0.0708
dawson5,51538,531157,0.0108
dblp-2010,326187,807700,0.0243
dc3,116836,766396,0.0189
de2010,24116,58028,0.004
debr,1048577,2097149,0.3477
delaunay_n15,32769,98274,0.0043
delaunay_n16,65537,196575,0.0067
