dataSet,num_nodes1,num_edges1,time
boyd1,93280,652246,0.1516
boyd2,466317,890091,0.6232
brack2,62632,366559,0.0374
brainpc2,27608,96601,0.0111
bratu3d,27793,88627,0.0119
Bump_2911,2911420,65320659,6.1565
bundle1,10582,390741,0.0303
bundle_adj,513352,10360701,0.7971
c-42,10472,60378,0.0077
c-43,11126,67400,0.0079
c-45,13207,93829,0.0097
c-46,14914,72655,0.0086
c-47,15344,113372,0.0139
c-48,18355,92217,0.0121
c-49,21133,89087,0.0126
c-50,22402,108013,0.0142
c-51,23197,113123,0.0146
c-52,23949,113332,0.0146
c-53,30236,201224,0.0197
c-54,31794,211743,0.0228
c-55,32781,218115,0.0265
c-56,35911,208405,0.0232
c-57,37834,221515,0.0212
c-58,37596,295076,0.0355
c-59,41283,260909,0.031
c-60,43641,171109,0.0222
c-61,43619,176817,0.0232
c-62,41732,300537,0.037
c-62ghs,41732,300537,0.0366
c-63,44235,239469,0.0291
c-64,51036,384438,0.0348
c-64b,51036,384438,0.0348
c-65,48067,204297,0.0258
c-66,49990,274498,0.032
c-66b,49990,274498,0.033
c-67b,57976,294955,0.0305
c-68,64811,315408,0.0383
c-69,67459,345714,0.0406
c-70,68925,363955,0.0425
c-71,76639,468096,0.0767
c-73,169423,724348,0.2417
c-73b,169423,724348,0.2417
ca-AstroPh,18773,198110,0.0266
ca-CondMat,23134,93497,0.0146
cage14,1505786,27130349,4.494
cage15,5154860,99199551,19.6309
ca-HepPh,12009,118521,0.0162
caidaRouterLevel,192245,609066,0.1643
cant,62452,2034917,0.2067
case39,40217,526139,0.0449
case9,14455,75801,0.0078
c-big,345242,1343126,0.5218
cbuckle,13682,345098,0.0339
ccc,49153,73728,0.0152
cfd1,70657,949510,0.092
Chebyshev4,68122,5377761,0.576
circuit_4,80210,307604,0.0804
circuit5M,5558327,59524291,18.9527
circuit5M_dc,3523318,19194193,7.005
citationCiteseer,268496,1156647,0.2783
cit-Patents,3774769,16518948,8.7315
ckt11752_dc_1,49703,333029,0.0352
ckt11752_tr_0,49703,333029,0.0352
cnr-2000,325558,3216152,0.4122
CO,221120,3943588,0.4043
coAuthorsCiteseer,227321,814134,0.2159
coAuthorsDBLP,299068,977676,0.2835
cond-mat-2003,31164,120029,0.0153
cond-mat-2005,40422,175693,0.0212
conf5_4-8x8-05,49153,1916928,0.2057
conf5_4-8x8-10,49153,1916928,0.2057
conf5_4-8x8-15,49153,1916928,0.2058
conf5_4-8x8-20,49153,1916928,0.2058
conf6_0-8x8-20,49153,1916928,0.2057
conf6_0-8x8-30,49153,1916928,0.2058
conf6_0-8x8-80,49153,1916928,0.2051
consph,83335,3046907,0.3183
cont-201,80596,239596,0.0301
cont-300,180896,539396,0.1793
coPapersCiteseer,434103,16036720,1.5793
coPapersDBLP,540487,15245729,1.5976
copter1,17223,114143,0.0127
CoupCons3D,416801,22322336,2.4345
crankseg_1,52805,5333507,0.5341
crankseg_2,63839,7106348,0.7143
crplat2,18011,489478,0.0492
crystk02,13966,491274,0.0515
crystk03,24697,887937,0.0924
crystm02,13966,168435,0.021
crystm03,24697,304233,0.0363
ct2010,67579,168176,0.0249
ct20stif,52330,1375396,0.1347
Cube_Coup_dt0,2164761,64685452,6.6069
Cube_Coup_dt6,2164761,64685452,6.6344
CurlCurl_0,11084,62213,0.007
CurlCurl_4,2380516,14448191,2.7964
cvxqp3,17501,69981,0.0118
cyl6,13682,363961,0.0363
darcy003,389875,1167685,0.5974
dawson5,51538,531157,0.0482
dblp-2010,326187,807700,0.2868
dc3,116836,766396,0.1659
de2010,24116,58028,0.0102
debr,1048577,2097149,1.4274
delaunay_n15,32769,98274,0.0121
delaunay_n16,65537,196575,0.022
delaunay_n17,131073,393176,0.1337
delaunay_n18,262145,786396,0.2807
delaunay_n19,524289,1572823,0.5728
