dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
cond-mat-2003, 31163, 31163, 120029, 0.034509, 1780.845671, 0.042291, 1453.135588, 0.026080, 2356.397510
cond-mat-2005, 40421, 40421, 175693, 0.048026, 1873.059736, 0.056627, 1588.544247, 0.036035, 2496.303992
conf5_4-8x8-05, 49152, 49152, 1916928, 0.109363, 4487.191082, 0.212035, 2314.396671, 0.155981, 3146.115182
conf5_4-8x8-10, 49152, 49152, 1916928, 0.109552, 4479.457785, 0.212480, 2309.551843, 0.156058, 3144.567006
conf5_4-8x8-15, 49152, 49152, 1916928, 0.109734, 4472.011965, 0.212858, 2305.454721, 0.156042, 3144.889397
conf5_4-8x8-20, 49152, 49152, 1916928, 0.109738, 4471.881770, 0.212378, 2310.665425, 0.156141, 3142.891253
conf6_0-8x8-20, 49152, 49152, 1916928, 0.109568, 4478.803745, 0.211955, 2315.270358, 0.156157, 3142.569271
conf6_0-8x8-30, 49152, 49152, 1916928, 0.109293, 4490.081183, 0.211523, 2319.998800, 0.155750, 3150.769114
conf6_0-8x8-80, 49152, 49152, 1916928, 0.109773, 4470.447704, 0.212173, 2312.895815, 0.155984, 3146.050745
consph, 83334, 83334, 3046907, 0.323174, 4761.153284, 0.638054, 2411.522960, 0.433869, 3546.424441
cont-201, 80595, 80595, 239596, 0.081101, 1385.085267, 0.115098, 975.967575, 0.076800, 1462.649987
cont-300, 180895, 180895, 539396, 0.265734, 951.995339, 0.398541, 634.760395, 0.247910, 1020.440916
coPapersCiteseer, 434102, 434102, 16036720, 2.660870, 3085.757487, 3.459994, 2373.068060, 2.153901, 3812.060866
coPapersDBLP, 540486, 540486, 15245729, 3.187507, 2448.877019, 3.509651, 2224.099444, 2.561945, 3046.830288
copter1, 17222, 17222, 114143, 0.027126, 1991.874581, 0.033178, 1628.580281, 0.020890, 2586.568674
CoupCons3D, 416800, 416800, 22322336, 1.608624, 3552.426013, 2.398720, 2382.319765, 2.361984, 2419.371963
crankseg_1, 52804, 52804, 5333507, 0.685347, 3964.760734, 1.153715, 2355.206633, 0.470090, 5780.255261
crankseg_2, 63838, 63838, 7106348, 0.875107, 4139.044539, 1.541939, 2349.060024, 0.623514, 5809.187850
crplat2, 18010, 18010, 489478, 0.042160, 5834.966031, 0.095722, 2569.975530, 0.056234, 4374.647256
crystk02, 13965, 13965, 491274, 0.049971, 4962.003170, 0.103322, 2399.858772, 0.049869, 4972.191869
crystk03, 24696, 24696, 887937, 0.087517, 5122.462829, 0.182477, 2456.759330, 0.088064, 5090.633893
crystm02, 13965, 13965, 168435, 0.033072, 2499.506475, 0.047309, 1747.321442, 0.030077, 2748.420155
crystm03, 24696, 24696, 304233, 0.056525, 2643.885811, 0.076800, 1945.899983, 0.054390, 2747.637786
ct2010, 67578, 67578, 168176, 0.053555, 1607.801073, 0.068198, 1262.582569, 0.042906, 2006.873561
ct20stif, 52329, 52329, 1375396, 0.193670, 3566.918403, 0.258963, 2667.585660, 0.158208, 4366.444966
Cube_Coup_dt0, 2164760, 2164760, 64685452, 6.778368, 4804.219991, 13.074000, 2490.804000, 11.200895, 2907.336499
