dataSet,rows_,columns_,nonzeros_,Sputnik_time,sputnik_gflops,ours_time,ours_gflops
gsm_106857, 589446, 589446, 11174185, 1237.311157, 4.501927, 5.891078,945.545791
gupta1, 31802, 31802, 1098006, 3.952742, 140.165411, 0.158822,3488.410586
gupta2, 62064, 62064, 2155175, 14.994211, 72.532075, 0.314976,3452.838354
gupta3, 16783, 16783, 4670105, 1.358739, 1756.626539, 0.863846,2762.988095
gyro, 17361, 17361, 519260, 1.223885, 213.595846, 0.054269,4817.071654
gyro_k, 17361, 17361, 519260, 1.223885, 213.595846, 0.054045,4837.037036
gyro_m, 17361, 17361, 178896, 1.198762, 72.700309, 0.033066,2635.679924
H2O, 67024, 67024, 1141880, 17.548595, 32.337884, 0.191360,2965.533160
halfb, 224617, 224617, 6306219, 181.568512, 17.466037, 0.543328,5836.772964
Hamrle3, 1447360, 1447360, 5514242, 7424.722656, 0.190128, 2.351421,600.337448
hangGlider_4, 15561, 15561, 79088, 0.949248, 40.326860, 0.013818,2770.393818
hangGlider_5, 16011, 16011, 82070, 1.004646, 39.559168, 0.014029,2832.956299
helm2d03, 392257, 392257, 1567096, 546.497009, 1.284427, 0.546122,1285.309652
helm3d01, 32226, 32226, 230335, 4.057498, 27.031848, 0.041965,2613.658737
hi2010, 25016, 25016, 62063, 2.434150, 13.054352, 0.019171,1657.499523
hollywood-2009, 1139905, 1139905, 57515616, 4621.821289, 6.308375, 10.988441,2653.349868
hood, 220542, 220542, 5494489, 174.434814, 15.803724, 0.548320,5027.574371
Hook_1498, 1498023, 1498023, 31207734, 7962.151367, 1.958625, 3.147389,4954.858365
HTC_336_4438, 226340, 226340, 565431, 183.701096, 1.260513, 0.253875,912.092338
HTC_336_9129, 226340, 226340, 554881, 183.790512, 1.230510, 0.253030,893.789979
hugetric-00000, 5824554, 5824554, 8733523, 0.000102, 43667615.110250, 7.679929,582.240223
human_gene1, 22283, 22283, 12345963, 3.561373, 1773.313000, 2.836989,2226.102740
human_gene2, 14340, 14340, 9041364, 2.000614, 2312.043454, 2.019289,2290.660712
HV15R, 2017169, 2017169, 283073458, 14458.427734, 5.012080, 18.597752,3896.535974
ibm_matrix_2, 51448, 51448, 1056610, 10.272359, 26.332040, 0.057066,4740.021296
igbt3, 10938, 10938, 234006, 0.481894, 124.312580, 0.022016,2721.000092
in-2004, 1382908, 1382908, 16917053, 6778.468750, 0.638900, 1.505690,2876.267132
inlet, 11730, 11730, 328323, 0.556237, 151.105949, 0.018330,4585.516885
inline_1, 503712, 503712, 18660027, 904.902222, 10.415471, 2.257920,4174.188298
ins2, 309412, 309412, 1530448, 340.231079, 2.070299, 0.675840,1042.228794
italy_osm, 6686493, 6686493, 7013978, 0.000102, 35069890.088543, 4.439738,808.866870
jan99jac120sc, 41374, 41374, 260202, 6.633872, 10.041151, 0.023245,2865.660833
juba40k, 40337, 40337, 144945, 6.304170, 5.885933, 0.016246,2283.947314
k3plates, 11107, 11107, 378927, 0.497840, 194.852377, 0.017072,5682.129465
kim1, 38415, 38415, 933195, 5.744435, 41.587713, 0.046080,5184.416756
kkt_power, 2063494, 2063494, 8130343, 15093.599609, 0.247843, 3.496281,1069.948687
kron_g500-logn16, 65536, 65536, 2456398, 16.410521, 76.633281, 0.536845,2342.561790
kron_g500-logn17, 131072, 131072, 5114375, 63.511536, 41.228103, 1.082573,2418.738083
kron_g500-logn18, 262144, 262144, 10583222, 246.846878, 21.950744, 2.233920,2425.544637
kron_g500-logn19, 524288, 524288, 21781478, 978.440125, 11.397672, 4.678054,2383.884158
kron_g500-logn20, 1048576, 1048576, 44620272, 3904.603516, 5.850877, 10.852484,2105.081000
laminar_duct3D, 67173, 67173, 3833077, 17.212008, 57.010650, 0.179098,5478.954972
language, 399130, 399130, 1216334, 565.675903, 0.550459, 0.286102,1088.356877
largebasis, 440020, 440020, 5560100, 687.548096, 2.070234, 0.802650,1773.358651
ldoor, 952203, 952203, 23737339, 3218.553223, 3.700344, 2.714534,4387.402015
lhr34, 35152, 35152, 764014, 4.816067, 40.611474, 0.038298,5107.045514
lhr34c, 35152, 35152, 764014, 4.815974, 40.612256, 0.038298,5107.045514
lhr71, 70304, 70304, 1528092, 19.170185, 20.406247, 0.076774,5095.338415
lhr71c, 70304, 70304, 1528092, 19.170332, 20.406091, 0.076902,5086.857428
li, 22695, 22695, 1350309, 2.115242, 163.422987, 0.091338,3784.631017
ljournal-2008, 5363260, 5363260, 79023142, 0.000195, 103636909.540992, 15.795507,1280.739093
Long_Coup_dt0, 1470152, 1470152, 44279572, 7665.637695, 2.908405, 3.087555,7220.853092
Long_Coup_dt6, 1470152, 1470152, 44279572, 7664.879883, 2.908693, 3.090902,7213.033471
lowThrust_10, 18260, 18260, 116074, 1.306522, 43.499686, 0.020173,2817.322318
lowThrust_11, 18368, 18368, 117002, 1.321149, 43.366089, 0.020173,2840.114196
lowThrust_12, 18458, 18458, 117423, 1.334374, 43.088212, 0.020070,2864.706726
lowThrust_13, 18476, 18476, 117580, 1.338061, 43.027666, 0.019968,2883.294864
lowThrust_4, 13562, 13562, 84240, 0.723469, 56.951223, 0.015658,2631.465481
lowThrust_5, 16262, 16262, 103701, 1.040077, 48.825685, 0.018125,2801.822122
lowThrust_6, 16928, 16928, 108376, 1.124147, 47.219210, 0.018739,2832.636667
lowThrust_7, 17378, 17378, 110607, 1.186096, 45.662085, 0.019251,2813.311089
lowThrust_8, 17702, 17702, 113139, 1.230016, 45.048128, 0.019558,2833.049750
lowThrust_9, 18044, 18044, 114806, 1.275597, 44.069398, 0.019699,2853.658292
lp1, 534388, 534388, 1088904, 1013.364380, 0.415167, 0.453939,926.810288
luxembourg_osm, 114599, 114599, 119666, 48.014122, 1.276062, 0.021629,2832.750402
m14b, 214765, 214765, 1679018, 165.778351, 5.185582, 0.341504,2517.268354
mario001, 38434, 38434, 114643, 5.727414, 9.214618, 0.021978,2401.351144
mario002, 389874, 389874, 1167685, 541.172424, 0.993986, 0.686826,783.194372
mark3jac040sc, 18289, 18289, 113435, 1.306397, 22.228591, 0.013722,2116.324600
mark3jac060sc, 27449, 27449, 170695, 2.929254, 14.917762, 0.019210,2274.795995
me2010, 69518, 69518, 167738, 18.699673, 4.592693, 0.044621,1924.704532
memplus, 17758, 17758, 126150, 1.229005, 26.276871, 0.012678,2547.198449
mip1, 66463, 66463, 5209641, 16.804865, 157.711576, 0.692326,3828.138944
ML_Laplace, 377002, 377002, 27689972, 506.570496, 13.993378, 1.319526,5372.103890
mouse_gene, 45101, 45101, 14506196, 10.429712, 711.009715, 3.266150,2270.448648
msc10848, 10848, 10848, 620313, 0.515174, 611.100192, 0.073715,4270.804073
msc23052, 23052, 23052, 588933, 2.107085, 140.303977, 0.045229,6536.374674
msdoor, 415863, 415863, 10328399, 615.523621, 8.418327, 1.148701,4510.904247
m_t1, 97578, 97578, 4925574, 36.499390, 68.409744, 0.498893,5004.910874
mult_dcop_01, 25187, 25187, 193276, 2.468147, 20.046881, 0.020371,2428.853266
mult_dcop_02, 25187, 25187, 193276, 2.468048, 20.047689, 0.020480,2415.950061
mult_dcop_03, 25187, 25187, 193216, 2.468045, 20.041490, 0.018944,2611.027067
NACA0015, 1039183, 1039183, 3114818, 3830.251465, 0.416366, 2.518848,633.141338
nasasrb, 54870, 54870, 1366097, 11.800900, 58.079890, 0.120730,5677.107653
nd12k, 36000, 36000, 7128473, 6.492704, 560.715870, 1.469440,2477.516753
nd24k, 72000, 72000, 14393817, 22.585104, 325.488968, 2.744797,2678.231930
nd6k, 18000, 18000, 3457658, 1.959952, 900.896002, 0.702157,2514.698912
net100, 29920, 29920, 1031560, 3.578365, 145.457271, 0.164851,3157.387985
net125, 36720, 36720, 1306960, 5.362557, 123.031461, 0.217498,3033.427341
net150, 43520, 43520, 1582360, 7.495242, 106.604596, 0.263046,3037.590237
net4-1, 88343, 88343, 1265035, 28.776958, 21.721618, 0.227738,2744.747154
net50, 16320, 16320, 480760, 1.086259, 222.756416, 0.076493,3163.320016
net75, 23120, 23120, 756160, 2.163597, 176.204371, 0.121347,3141.689279
netherlands_osm, 2216688, 2216688, 2441238, 0.000205, 6103095.015409, 1.487155,840.473016
nh2010, 48837, 48837, 117275, 9.242278, 6.496753, 0.032973,1821.040332
NLR, 4163763, 4163763, 12487976, 0.000125, 51232723.823436, 11.037709,579.272717
NotreDame_www, 325729, 325729, 929849, 375.937653, 0.633194, 0.187568,1269.093597
nv2010, 84538, 84538, 208499, 27.437672, 3.890691, 0.050144,2128.898581
ohne2, 181343, 181343, 11063545, 118.598961, 23.881048, 0.832307,3402.911056
oilpan, 73752, 73752, 1835470, 20.818428, 44.233893, 0.145930,6310.441031
olafu, 16146, 16146, 515651, 1.086243, 239.246559, 0.043008,6042.595286
onetone2, 36057, 36057, 227628, 5.044953, 11.550705, 0.023562,2473.209305
OPF_10000, 43887, 43887, 255799, 7.473254, 16.021670, 0.034387,3481.935496
opt1, 15449, 15449, 973052, 1.012672, 488.062926, 0.109082,4530.990291
p2p-Gnutella31, 62586, 62586, 147892, 15.134303, 2.501625, 0.025600,1478.919930
parabolic_fem, 525825, 525825, 2100225, 981.400269, 0.958532, 1.409152,667.567430
patents, 3774768, 3774768, 14970767, 0.000176, 21775660.920832, 8.177767,468.650748
pattern1, 19242, 19242, 4671337, 1.726259, 1382.642044, 0.993382,2402.698791
pcrystk02, 13965, 13965, 491274, 0.798653, 310.469394, 0.041533,5970.154923
pcrystk03, 24696, 24696, 887937, 2.436301, 184.009117, 0.076483,5861.438282
pct20stif, 52329, 52329, 1375396, 10.738585, 64.329377, 0.113453,6088.933046
pdb1HYS, 36417, 36417, 2190591, 5.410407, 205.577869, 0.242166,4592.956910
pds10, 16558, 16558, 83108, 1.075917, 35.609119, 0.016464,2327.043809
PFlow_742, 742793, 742793, 18940627, 1959.146118, 4.852852, 2.201187,4319.235684
pkustk01, 22044, 22044, 500712, 1.921434, 130.486567, 0.042496,5899.879693
pkustk02, 10800, 10800, 410400, 0.481587, 430.576211, 0.033478,6193.844369
pkustk03, 63336, 63336, 1596876, 15.613149, 51.327668, 0.120934,6626.621346
pkustk04, 55590, 55590, 2137125, 12.103065, 89.231688, 0.221875,4867.497607
pkustk05, 37164, 37164, 1121154, 5.431398, 103.935823, 0.093594,6031.575659
pkustk06, 43164, 43164, 1307466, 7.304698, 90.130031, 0.110070,5981.377692
pkustk07, 16860, 16860, 1217832, 1.219306, 507.841364, 0.180704,3426.674740
pkustk08, 22209, 22209, 1624440, 2.069930, 399.060788, 0.247594,3336.224351
pkustk09, 33960, 33960, 808800, 4.517097, 89.750518, 0.061325,6610.895530
pkustk10, 80676, 80676, 2194830, 24.106403, 45.759623, 0.167997,6566.195930
pkustk11, 87804, 87804, 2652858, 29.443569, 45.367646, 0.238163,5608.697825
pkustk12, 94653, 94653, 3803485, 33.488792, 57.426767, 0.377782,5090.637336
pkustk13, 94893, 94893, 3355860, 33.022057, 51.296254, 0.367274,4612.114087
pkustk14, 151926, 151926, 7494215, 84.665237, 44.860736, 0.853898,4448.010102
pli, 22695, 22695, 686502, 2.115175, 163.428174, 0.091312,3785.692074
PR02R, 161070, 161070, 8185136, 94.403793, 22.196088, 0.423203,4951.273771
Pres_Poisson, 14822, 14822, 365313, 0.881664, 207.840885, 0.030416,6024.652310
pwtk, 217918, 217918, 5926171, 170.826111, 17.435347, 0.449536,6625.526347
qa8fk, 66127, 66127, 863353, 16.918285, 25.127147, 0.093901,4527.205574
qa8fm, 66127, 66127, 863353, 16.423321, 25.884424, 0.094003,4522.273940
raefsky3, 21200, 21200, 1488768, 1.790169, 212.898612, 0.051917,7341.064816
raefsky4, 19779, 19779, 674195, 1.581261, 215.096979, 0.058253,5838.765156
rajat15, 37261, 37261, 443573, 5.405491, 21.007284, 0.036454,3114.978897
rajat22, 39899, 39899, 197264, 6.167245, 8.188354, 0.016806,3004.782972
rajat26, 51032, 51032, 249302, 10.079508, 6.331789, 0.020378,3131.934644
rajat29, 643994, 643994, 4866270, 1472.154907, 0.846219, 0.945050,1318.200819
rajat30, 643994, 643994, 6175377, 1472.170044, 1.073855, 1.129280,1399.915450
ramage02, 16830, 16830, 1441591, 1.275494, 575.295447, 0.232141,3160.952756
Reuters911, 13332, 13332, 148038, 0.702976, 107.820832, 0.033485,2263.578072
rgg_n_2_15_s0, 32768, 32768, 160240, 4.180282, 19.626162, 0.037613,2181.249006
rgg_n_2_22_s0, 4194304, 4194304, 30359198, 0.000102, 151795990.383248, 6.260326,2482.923161
ri2010, 25181, 25181, 62875, 2.466099, 13.053814, 0.019552,1646.481190
rim, 22560, 22560, 1014951, 2.041350, 127.282146, 0.053958,4815.329312
RM07R, 381689, 381689, 37464962, 518.937805, 18.482042, 2.418762,3965.264759
rma10, 46835, 46835, 2374001, 8.616961, 70.528846, 0.117760,5160.871625
roadNet-CA, 1971281, 1971281, 2766607, 13772.037109, 0.102854, 1.175654,1204.863241
roadNet-PA, 1090920, 1090920, 1541898, 4218.539062, 0.187139, 0.653619,1207.816085
roadNet-TX, 1393383, 1393383, 1921660, 6881.783691, 0.142970, 0.831590,1183.142518
s3dkq4m2, 90449, 90449, 2455670, 31.336857, 39.383277, 0.187382,6586.254076
s3dkt3m2, 90449, 90449, 1921955, 30.675663, 31.324051, 0.170077,5649.718359
s4dkt3m2, 90449, 90449, 1921955, 30.577051, 31.425072, 0.169910,5655.251494
Serena, 1391349, 1391349, 32961525, 6869.906250, 2.404708, 4.134707,3995.474024
shermanACb, 18510, 18510, 145149, 1.336627, 27.799931, 0.014416,2577.562664
ship_001, 34920, 34920, 2339575, 4.922163, 241.544800, 0.287651,4133.210149
ship_003, 121728, 121728, 4103881, 53.956642, 38.364596, 0.365670,5660.903187
shipsec1, 140874, 140874, 3977139, 71.811691, 27.853842, 0.327770,6102.553405
shipsec5, 179860, 179860, 5146478, 116.438309, 22.234544, 0.434765,5954.834638
shipsec8, 114919, 114919, 3384159, 49.259029, 34.577825, 0.287197,5930.672367
Si10H16, 17077, 17077, 446500, 1.188237, 188.713467, 0.077517,2892.744380
Si34H36, 97569, 97569, 2626974, 35.910145, 36.759335, 0.451901,2921.068025
Si41Ge41H72, 185639, 185639, 7598452, 124.058395, 30.976410, 1.377178,2790.405380
