dataSet,num_nodes,num_edges,flash
c-62,41732,300537,0.0401
c-62ghs,41732,300537,0.0404
c-63,44235,239469,0.0371
c-64,51036,384438,0.0338
c-64b,51036,384438,0.034
c-65,48067,204297,0.0373
c-66,49990,274498,0.0422
c-66b,49990,274498,0.0419
c-67b,57976,294955,0.0441
c-68,64811,315408,0.0488
c-69,67459,345714,0.0496
c-70,68925,363955,0.0519
c-71,76639,468096,0.0557
c-73,169423,724348,0.0453
c-73b,169423,724348,0.0459
ca-AstroPh,18773,198110,0.02
ca-CondMat,23134,93497,0.0142
cage14,1505786,27130349,1.5927
cage15,5154860,99199551,6.1502
ca-HepPh,12009,118521,0.0131
caidaRouterLevel,192245,609066,0.069
cant,62452,2034917,0.0704
case39,40217,526139,0.0271
case9,14455,75801,0.01
c-big,345242,1343126,0.1837
cbuckle,13682,345098,0.0209
ccc,49153,73728,0.0095
cfd1,70657,949510,0.0408
Chebyshev4,68122,5377761,0.1898
circuit_4,80210,307604,0.0485
circuit5M,5558327,59524291,6.4265
circuit5M_dc,3523318,19194193,1.7008
citationCiteseer,268496,1156647,0.1538
cit-Patents,3774769,16518948,2.9238
ckt11752_dc_1,49703,333029,0.0421
ckt11752_tr_0,49703,333029,0.0419
cnr-2000,325558,3216152,0.2293
CO,221120,3943588,0.195
coAuthorsCiteseer,227321,814134,0.0501
coAuthorsDBLP,299068,977676,0.0687
cond-mat-2003,31164,120029,0.0165
cond-mat-2005,40422,175693,0.0206
conf5_4-8x8-05,49153,1916928,0.0778
conf5_4-8x8-10,49153,1916928,0.0779
conf5_4-8x8-15,49153,1916928,0.0777
conf5_4-8x8-20,49153,1916928,0.0776
conf6_0-8x8-20,49153,1916928,0.0785
conf6_0-8x8-30,49153,1916928,0.0779
conf6_0-8x8-80,49153,1916928,0.0778
consph,83335,3046907,0.1118
cont-201,80596,239596,0.019
cont-300,180896,539396,0.036
coPapersCiteseer,434103,16036720,0.6718
coPapersDBLP,540487,15245729,0.7089
copter1,17223,114143,0.0112
CoupCons3D,416801,22322336,0.791
crankseg_1,52805,5333507,0.1945
crankseg_2,63839,7106348,0.2546
crplat2,18011,489478,0.0268
crystk02,13966,491274,0.0248
crystk03,24697,887937,0.0377
crystm02,13966,168435,0.0135
crystm03,24697,304233,0.0193
ct2010,67579,168176,0.0172
ct20stif,52330,1375396,0.0598
Cube_Coup_dt0,2164761,64685452,2.3234
Cube_Coup_dt6,2164761,64685452,2.3232
CurlCurl_0,11084,62213,0.0079
CurlCurl_4,2380516,14448191,0.7087
cvxqp3,17501,69981,0.0092
cyl6,13682,363961,0.0241
darcy003,389875,1167685,0.0732
dawson5,51538,531157,0.0295
dblp-2010,326187,807700,0.1465
dc3,116836,766396,0.0794
de2010,24116,58028,0.0092
debr,1048577,2097149,0.2715
delaunay_n15,32769,98274,0.0102
delaunay_n16,65537,196575,0.0167
delaunay_n17,131073,393176,0.0268
delaunay_n18,262145,786396,0.0492
delaunay_n19,524289,1572823,0.1166
delaunay_n20,1048577,3145686,0.246
delaunay_n21,2097153,6291408,0.4937
delaunay_n22,4194305,12582869,0.9923
denormal,89401,622812,0.0314
dictionary28,52653,89038,0.0127
dielFilterV2clx,607233,12958252,0.6553
dielFilterV2real,1157457,24848204,1.2082
dielFilterV3clx,420409,16653308,0.7317
Dubcova1,16130,134569,0.0111
Dubcova3,146690,1891669,0.0762
e40r0100,17282,553562,0.032
EAT_RS,23220,325592,0.027
ecology1,1000001,2998000,0.2375
ecology2,1000000,2997995,0.2375
email-Enron,36693,183831,0.0199
Emilia_923,923137,20964171,0.8042
engine,143572,2424822,0.1155
enron,69245,276143,0.0329
eu-2005,862665,19235140,1.0097
ex11,16615,1096948,0.045
ex19,12006,259879,0.0163
F1,343792,13590452,0.5664
F2,71506,2682895,0.1082
Fault_639,638803,14626683,0.5776
fcondp2,201823,5748069,0.205
fem_hifreq_circuit,491101,20239237,0.8921
filter3D,106438,1406808,0.0734
finance256,37377,167936,0.0139
Flan_1565,1564795,59485419,2.08
flickr,820879,9837214,0.9009
foldoc,13357,120238,0.0126
Freescale1,3428756,18920347,1.938
fullb,199188,5953632,0.2165
FullChip,2987013,26621990,2.845
fxm4_6,18893,258368,0.0232
G2_circuit,150103,438388,0.0319
G3_circuit,1585479,4623152,0.3598
Ga10As10H30,113082,3114357,0.1468
Ga19As19H42,133124,4508981,0.1982
Ga3As3H12,61350,3016148,0.1269
Ga41As41H72,268097,9378286,0.4416
GaAsH6,61350,1721579,0.0841
gas_sensor,66918,885141,0.042
Ge87H76,112986,4002590,0.1778
Ge99H100,112986,4282190,0.1868
gearbox,153747,4617075,0.171
Geo_1438,1437961,32297325,1.2218
gridgena,48963,280523,0.019
gsm_106857,589447,11174185,0.7561
gupta1,31803,1098006,0.0482
gupta2,62065,2155175,0.0865
gupta3,16784,4670105,0.1647
gyro,17362,519260,0.0297
gyro_k,17362,519260,0.0296
gyro_m,17362,178896,0.0143
H2O,67025,1141880,0.0592
halfb,224618,6306219,0.2377
Hamrle3,1447361,5514242,0.5973
hangGlider_4,15562,79088,0.0158
hangGlider_5,16012,82070,0.0167
helm2d03,392258,1567096,0.0838
helm3d01,32227,230335,0.0168
hi2010,25017,62063,0.0095
hollywood-2009,1139906,57515616,2.9599
hood,220543,5494489,0.1975
Hook_1498,1498024,31207734,1.1985
HTC_336_4438,226341,565431,0.0673
HTC_336_9129,226341,554881,0.0671
