dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
c-45,13207,93829,0.0083,0.0102,0.0097,0.0114,0.0113,0.0113,0.0114,0.0113,0.0114,0.0114,0,0.86
c-46,14914,72655,0.0109,0.0109,0.0122,0.013,0.0122,0.0122,0.0122,0.0121,0.0122,0.0113,9,0.96
c-47,15344,113372,0.0156,0.0142,0.017,0.0162,0.0146,0.0154,0.0154,0.0147,0.0152,0.0154,9,0.97
c-48,18355,92217,0.0133,0.0134,0.0146,0.0146,0.0146,0.0146,0.0146,0.0147,0.0146,0.0146,0,0.91
c-49,21133,89087,0.0144,0.015,0.0155,0.0155,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0,0.94
c-50,22402,108013,0.0147,0.0166,0.0162,0.0171,0.017,0.017,0.0171,0.0172,0.017,0.017,0,0.91
c-51,23197,113123,0.0153,0.0166,0.017,0.0178,0.017,0.0171,0.0169,0.017,0.017,0.017,0,0.91
c-52,23949,113332,0.0155,0.0174,0.017,0.0178,0.0171,0.0194,0.0188,0.0187,0.0187,0.0187,0,0.91
c-53,30236,201224,0.0201,0.0232,0.022,0.0261,0.0253,0.0253,0.0246,0.0244,0.0244,0.0244,0,0.91
c-54,31794,211743,0.0217,0.029,0.0236,0.0268,0.0268,0.0269,0.026,0.026,0.0268,0.0269,0,0.92
c-55,32781,218115,0.0268,0.0322,0.0285,0.0293,0.0301,0.031,0.0309,0.0302,0.0309,0.031,0,0.94
c-56,35911,208405,0.0231,0.029,0.0253,0.0301,0.0294,0.0293,0.0294,0.0294,0.0293,0.0294,0,0.91
c-57,37834,221515,0.0217,0.0265,0.0244,0.0309,0.031,0.0301,0.0301,0.0302,0.0293,0.0293,0,0.89
c-58,37596,295076,0.0369,0.0418,0.0391,0.0384,0.0391,0.0405,0.0408,0.0407,0.0407,0.0411,0,0.96
c-59,41283,260909,0.0312,0.038,0.0386,0.0367,0.036,0.0375,0.0367,0.0378,0.0367,0.0368,0,0.87
c-60,43641,171109,0.025,0.0298,0.0285,0.0342,0.0334,0.0334,0.0327,0.0326,0.0317,0.0318,0,0.88
c-61,43619,176817,0.0269,0.0306,0.0291,0.0342,0.0326,0.0326,0.0318,0.0309,0.0309,0.0313,0,0.92
c-62,41732,300537,0.0356,0.0428,0.0383,0.0391,0.0408,0.0409,0.041,0.041,0.0417,0.0417,0,0.93
c-62ghs,41732,300537,0.0358,0.0429,0.0382,0.0391,0.0409,0.0409,0.0408,0.0409,0.0416,0.0416,0,0.94
c-63,44235,239469,0.0289,0.0363,0.0311,0.0367,0.0358,0.0358,0.0352,0.0358,0.035,0.0359,0,0.93
c-64,51036,384438,0.0304,0.0404,0.0335,0.0425,0.0408,0.0408,0.0408,0.0407,0.0408,0.0399,0,0.91
c-64b,51036,384438,0.0305,0.0404,0.0334,0.0425,0.0416,0.0408,0.0408,0.0408,0.0408,0.0407,0,0.91
c-65,48067,204297,0.0286,0.0338,0.031,0.0375,0.0358,0.0359,0.0351,0.035,0.0342,0.0342,0,0.92
c-66,49990,274498,0.0307,0.0412,0.0334,0.0408,0.04,0.0407,0.04,0.0399,0.0398,0.04,0,0.92
c-66b,49990,274498,0.0307,0.0413,0.0334,0.0408,0.04,0.0407,0.04,0.04,0.04,0.0399,0,0.92
c-67b,57976,294955,0.0295,0.0397,0.0325,0.0457,0.044,0.044,0.0432,0.0432,0.0432,0.0433,0,0.91
c-68,64811,315408,0.0407,0.051,0.0432,0.0539,0.0538,0.0539,0.0539,0.0531,0.0522,0.0516,0,0.94
c-69,67459,345714,0.0409,0.053,0.0442,0.0556,0.0541,0.0548,0.054,0.0542,0.0531,0.0536,0,0.93
