dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
vsp_c-30_data_data, 11023, 11023, 62184, 0.049050, 324.551142, 0.411955, 38.642803, 0.029798, 534.226797
vsp_c-60_data_cti_cs4, 85830, 85830, 241080, 0.107930, 571.821636, 0.464998, 132.724073, 0.060621, 1018.074280
vsp_finan512_scagr7-2c_rlfddd, 139752, 139752, 552020, 0.159437, 886.351969, 0.589517, 239.716873, 0.147866, 955.713262
vsp_mod2_pgp2_slptsk, 101364, 101364, 389368, 0.110797, 899.648821, 0.512307, 194.567254, 0.086323, 1154.709349
vsp_model1_crew1_cr42_south31, 45101, 45101, 189976, 0.056422, 861.960065, 0.431923, 112.598388, 0.042189, 1152.767007
vsp_msc10848_300sep_100in_1Kout, 21996, 21996, 1221028, 0.167936, 1861.323135, 0.338739, 922.784148, 0.974336, 320.816620
vsp_p0291_seymourl_iiasa, 10498, 10498, 53868, 0.055398, 248.927917, 0.454246, 30.358432, 0.036966, 373.047078
vsp_sctap1-2b_and_seymourl, 40174, 40174, 140831, 0.060621, 594.725481, 0.474624, 75.960623, 0.042394, 850.428725
vsp_south31_slptsk, 39668, 39668, 189914, 0.053760, 904.352413, 0.421274, 115.407143, 0.040141, 1211.186264
vsp_vibrobox_scagr7-2c_rlfddd, 77328, 77328, 435586, 0.087450, 1275.134685, 0.444723, 250.740285, 0.065024, 1714.905501
vt2010, 32580, 32580, 77799, 0.062771, 317.287922, 0.419328, 47.496335, 0.034918, 570.373890
wathen100, 30401, 30401, 251001, 0.051610, 1245.044653, 0.422195, 152.195611, 0.035635, 1803.168096
wathen120, 36441, 36441, 301101, 0.056525, 1363.682035, 0.420557, 183.285252, 0.038400, 2007.339983
web-Google, 916428, 916428, 5105039, 1.642394, 795.722729, 2.564608, 509.586644, 1.631334, 801.117208
web-NotreDame, 325729, 325729, 1497134, 0.534426, 717.155596, 0.807014, 474.918810, 0.432333, 886.507576
wikipedia-20051105, 1634989, 1634989, 19753078, 4.729651, 1069.167194, 6.046823, 836.271957, 4.813004, 1050.650955
wikipedia-20060925, 2983494, 2983494, 37269096, 10.355098, 921.371156, 12.630323, 755.395452, 9.429811, 1011.779396
wikipedia-20061104, 3148440, 3148440, 39383235, 11.016191, 915.208112, 13.407846, 751.955840, 10.049536, 1003.241147
wikipedia-20070206, 3566907, 3566907, 45030389, 12.925952, 891.832141, 15.579443, 739.935267, 11.786650, 978.037037
wiki-Talk, 2394385, 2394385, 5021410, 6.017945, 213.607944, 3.781018, 339.982795, 3.105690, 413.911600
windscreen, 22692, 22692, 752541, 0.094413, 2040.512523, 0.376218, 512.071987, 0.068198, 2824.853573
wing_nodal, 10937, 10937, 75488, 0.049664, 389.113405, 0.436736, 44.248533, 0.035533, 543.861681
wy2010, 86204, 86204, 213793, 0.092672, 590.588383, 0.478106, 114.474729, 0.078950, 693.232822
x104, 108384, 108384, 5138004, 0.635290, 2070.439969, 0.689562, 1907.485877, 0.537600, 2446.668604
Zd_Jac2, 22835, 22835, 1642833, 0.152781, 2752.736348, 0.346214, 1214.753807, 0.134656, 3123.256651
Zd_Jac3, 22835, 22835, 1916152, 0.160563, 3055.089386, 0.367821, 1333.624681, 0.155648, 3151.565688
Zd_Jac6, 22835, 22835, 1711983, 0.151142, 2899.700308, 0.349286, 1254.751577, 0.133837, 3274.642168
