dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
dielFilterV3clx,420409,16653308,0.3661,3.5214,0.3816,0.4224,0.455,0.6753,0.7019,0.7623,1.0224,1.3583,0,0.96
Dubcova1,16130,134569,0.0074,0.0157,0.0072,0.0068,0.0076,0.0101,0.0117,0.0125,0.0134,0.0142,8,1.09
Dubcova3,146690,1891669,0.0355,0.1851,0.0338,0.0362,0.051,0.0584,0.0625,0.0724,0.0961,0.0985,4,1.05
e40r0100,17282,553562,0.0142,0.1112,0.0142,0.0142,0.0141,0.0216,0.0224,0.0247,0.033,0.0413,14,1.01
EAT_RS,23220,325592,0.0212,0.0776,0.0207,0.0207,0.0215,0.0682,0.0715,0.0748,0.078,0.0781,4,1.02
ecology1,1000001,2998000,0.1796,0.6668,0.2306,0.2306,0.2305,0.2306,0.2306,0.6666,0.6665,0.6664,0,0.78
ecology2,1000000,2997995,0.1787,0.6669,0.2302,0.23,0.2299,0.2305,0.2307,0.6668,0.6669,0.6667,0,0.78
email-Enron,36693,183831,0.0159,0.0335,0.0158,0.0166,0.0183,0.0208,0.0223,0.0264,0.0297,0.0314,4,1.01
Emilia_923,923137,20964171,0.3826,1.9758,0.3823,0.427,0.4884,0.5579,0.5908,0.6754,0.8386,1.2378,4,1.0
engine,143572,2424822,0.0775,0.3771,0.0788,0.0829,0.0879,0.0977,0.0953,0.1034,0.1371,0.3181,0,0.98
enron,69245,276143,0.0261,0.0769,0.0224,0.0207,0.0198,0.0502,0.051,0.0526,0.0609,0.0658,14,1.32
eu-2005,862665,19235140,0.61,3.552,0.6029,0.6823,0.7551,1.1103,1.1431,1.1908,1.2921,1.3857,4,1.01
ex11,16615,1096948,0.0164,0.2905,0.0158,0.0166,0.0167,0.0208,0.0223,0.0232,0.0265,0.0363,4,1.04
ex19,12006,259879,0.0087,0.035,0.0085,0.0085,0.0085,0.0118,0.011,0.0125,0.0174,0.0174,4,1.02
F1,343792,13590452,0.2809,3.0377,0.2717,0.2805,0.3148,0.3528,0.3693,0.3978,0.5427,1.0794,4,1.03
