dataSet,num_nodes,num_edges,tcgnn
boneS01,127225,3421188,0.309
boneS10,914899,28191660,1000000000
boyd2,466317,890091,250.6098
brack2,62632,366559,0.1656
brainpc2,27608,96601,0.0311
bratu3d,27793,88627,0.053
Bump_2911,2911420,65320659,1000000000
bundle1,10582,390741,0.2519
bundle_adj,513352,10360701,1000000000
c-42,10472,60378,0.3361
c-43,11126,67400,0.0997
c-45,13207,93829,0.0424
c-46,14914,72655,0.0698
c-47,15344,113372,0.2542
c-48,18355,92217,0.3811
c-49,21133,89087,0.7432
c-50,22402,108013,0.7525
c-51,23197,113123,0.7756
c-52,23949,113332,0.8368
c-53,30236,201224,0.1675
c-54,31794,211743,0.8672
c-55,32781,218115,1.9496
c-56,35911,208405,0.7065
c-57,37834,221515,0.077
c-58,37596,295076,6.6198
c-59,41283,260909,1.9903
c-60,43641,171109,1.2382
c-61,43619,176817,1.707
c-62,41732,300537,6.6976
c-62ghs,41732,300537,6.6946
c-63,44235,239469,2.1412
c-64,51036,384438,0.1585
c-64b,51036,384438,0.1573
c-65,48067,204297,2.2295
c-66,49990,274498,2.0292
c-66b,49990,274498,2.032
c-67b,57976,294955,0.2535
c-68,64811,315408,1.8294
c-69,67459,345714,3.8665
c-70,68925,363955,4.3947
c-71,76639,468096,12.3543
c-73,169423,724348,0.1896
c-73b,169423,724348,0.1902
ca-AstroPh,18773,198110,0.4919
ca-CondMat,23134,93497,0.1867
cage14,1505786,27130349,1000000000
cage15,5154860,99199551,1000000000
ca-HepPh,12009,118521,0.3488
caidaRouterLevel,192245,609066,0.2501
cant,62452,2034917,0.2122
case39,40217,526139,0.0819
case9,14455,75801,0.0303
c-big,345242,1343126,98.6995
cbuckle,13682,345098,0.2363
ccc,49153,73728,0.0438
cfd1,70657,949510,0.1839
Chebyshev4,68122,5377761,1000000000
circuit_4,80210,307604,15.6226
circuit5M,5558327,59524291,1000000000
circuit5M_dc,3523318,19194193,1000000000
citationCiteseer,268496,1156647,0.9144
cit-Patents,3774769,16518948,1000000000
ckt11752_dc_1,49703,333029,2.6467
ckt11752_tr_0,49703,333029,2.6391
cnr-2000,325558,3216152,2.1493
CO,221120,3943588,1.0365
coAuthorsCiteseer,227321,814134,0.172
coAuthorsDBLP,299068,977676,0.2424
cond-mat-2003,31164,120029,0.0682
cond-mat-2005,40422,175693,0.0855
conf5_4-8x8-05,49153,1916928,0.2308
conf5_4-8x8-10,49153,1916928,0.2303
conf5_4-8x8-15,49153,1916928,0.2309
conf5_4-8x8-20,49153,1916928,0.2313
conf6_0-8x8-20,49153,1916928,0.256
conf6_0-8x8-30,49153,1916928,0.2558
conf6_0-8x8-80,49153,1916928,0.2559
consph,83335,3046907,0.3129
cont-201,80596,239596,0.0955
coPapersCiteseer,434103,16036720,1000000000
coPapersDBLP,540487,15245729,1000000000
copter1,17223,114143,0.051
CoupCons3D,416801,22322336,1000000000
crankseg_1,52805,5333507,1000000000
crankseg_2,63839,7106348,1000000000
crplat2,18011,489478,0.0948
crystk02,13966,491274,0.1052
crystk03,24697,887937,0.1209
crystm02,13966,168435,0.0706
crystm03,24697,304233,0.0851
ct2010,67579,168176,0.1025
ct20stif,52330,1375396,0.4428
Cube_Coup_dt0,2164761,64685452,1000000000
Cube_Coup_dt6,2164761,64685452,1000000000
CurlCurl_0,11084,62213,0.0315
CurlCurl_4,2380516,14448191,1000000000
cvxqp3,17501,69981,0.0526
cyl6,13682,363961,0.3258
darcy003,389875,1167685,0.4003
dawson5,51538,531157,0.1294
dblp-2010,326187,807700,0.4334
dc3,116836,766396,4605.2588
de2010,24116,58028,0.0531
debr,1048577,2097149,1000000000
delaunay_n15,32769,98274,0.0336
delaunay_n16,65537,196575,0.0587
delaunay_n17,131073,393176,0.1037
delaunay_n18,262145,786396,0.1933
delaunay_n19,524289,1572823,0.3767
delaunay_n20,1048577,3145686,1000000000
delaunay_n21,2097153,6291408,1000000000
delaunay_n22,4194305,12582869,1000000000
denormal,89401,622812,0.1334
dictionary28,52653,89038,0.0902
dielFilterV2clx,607233,12958252,1000000000
dielFilterV2real,1157457,24848204,1000000000
dielFilterV3clx,420409,16653308,1000000000
Dubcova1,16130,134569,0.0547
Dubcova3,146690,1891669,0.2038
e40r0100,17282,553562,0.1601
EAT_RS,23220,325592,0.7496
ecology1,1000001,2998000,1000000000
ecology2,1000000,2997995,1.0014
email-Enron,36693,183831,0.1868
Emilia_923,923137,20964171,1000000000
engine,143572,2424822,0.6256
enron,69245,276143,1.8902
eu-2005,862665,19235140,1000000000
ex11,16615,1096948,0.2189
ex19,12006,259879,0.095
F1,343792,13590452,1000000000
F2,71506,2682895,0.4225
Fault_639,638803,14626683,1000000000
fcondp2,201823,5748069,1000000000
fem_hifreq_circuit,491101,20239237,1000000000
filter3D,106438,1406808,0.387
finance256,37377,167936,0.0791
Flan_1565,1564795,59485419,1000000000
flickr,820879,9837214,1000000000
foldoc,13357,120238,0.232
Freescale1,3428756,18920347,1000000000
fullb,199188,5953632,1000000000
FullChip,2987013,26621990,1000000000
fxm4_6,18893,258368,0.1879
G2_circuit,150103,438388,0.1749
G3_circuit,1585479,4623152,1000000000
Ga10As10H30,113082,3114357,1.0577
Ga19As19H42,133124,4508981,1.3374
Ga3As3H12,61350,3016148,3.1395
Ga41As41H72,268097,9378286,1000000000
GaAsH6,61350,1721579,3.2378
gas_sensor,66918,885141,0.1971
Ge87H76,112986,4002590,1.2174
Ge99H100,112986,4282190,1.2702
gearbox,153747,4617075,0.5351
Geo_1438,1437961,32297325,1000000000
