dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
bcsstk39,46773,1068033,0.0383,0.0692,0.039,0.0596,0.0726,0.0824,0.0841,0.0726,0.0726,0.0726,0.0116,0,0.98
bcsstm36,23053,166389,0.0145,0.0183,0.0153,0.0259,0.0299,0.0252,0.0227,0.0195,0.0194,0.0194,0.0045,0,0.95
belgium_osm,1441296,1549970,1.1692,1.9543,1.2585,2.3257,1.9633,1.9557,1.9548,1.9557,1.9546,1.9548,0.3168,0,0.93
BenElechi1,245875,6698185,0.2828,0.4253,0.2834,0.4633,0.5209,0.665,0.7192,0.8277,0.8421,0.8549,0.0747,0,1.0
blockqp1,60013,340022,0.0327,0.0765,0.0334,0.1162,0.0956,0.0955,0.0948,0.0955,0.094,0.095,0.0198,0,0.98
bloweya,30005,80005,0.0178,0.0323,0.0178,0.0406,0.0464,0.0326,0.0324,0.0325,0.0326,0.0325,0.0079,0,1.0
bloweybl,30004,70001,0.0175,0.0315,0.0187,0.0407,0.0407,0.0317,0.0317,0.0318,0.0317,0.0318,0.0078,0,0.94
bmw3_2,227363,5757996,0.2697,0.4448,0.2736,0.4512,0.5533,0.6466,0.6861,0.6886,0.666,0.6414,0.0777,0,0.99
bmw7st_1,141348,3740507,0.1745,0.277,0.1719,0.2616,0.3011,0.358,0.4012,0.4235,0.4228,0.4059,0.0458,1,1.02
bmwcra_1,148771,5396386,0.21,0.3727,0.2108,0.2943,0.3466,0.451,0.5116,0.5138,0.5006,0.4666,0.0546,0,1.0
bone010,986704,36326514,1.2889,2.6429,1.2984,2.1133,2.482,2.8961,3.4811,3.3841,3.3503,3.2063,0.3945,0,0.99
boneS01,127225,3421188,0.1516,0.2506,0.1533,0.2271,0.2683,0.3294,0.4056,0.4001,0.347,0.2985,0.0398,0,0.99
boneS10,914899,28191660,1.1204,2.0985,1.1275,1.9414,2.3159,2.7053,3.1424,3.0098,2.7594,2.5443,0.3388,0,0.99
boyd1,93280,652246,0.0635,0.3516,0.0823,0.1145,0.1958,0.2295,0.2992,0.3471,0.3519,0.3719,0.0586,0,0.77
boyd2,466317,890091,0.4318,0.7114,0.4656,1.0367,1.0449,1.0437,1.0439,1.0421,1.04,1.0384,0.1007,0,0.93
brack2,62632,366559,0.0367,0.0642,0.0382,0.0931,0.1048,0.0948,0.084,0.0708,0.066,0.0644,0.0142,0,0.96
brainpc2,27608,96601,0.0135,0.0266,0.0145,0.0381,0.0373,0.0373,0.0373,0.0373,0.0373,0.0372,0.0059,0,0.93
bratu3d,27793,88627,0.0141,0.0192,0.0144,0.0274,0.0268,0.0193,0.0193,0.0193,0.0197,0.0193,0.0052,0,0.98
Bump_2911,2911420,65320659,3.3174,4.6924,3.3602,6.0043,7.281,9.1186,9.9052,9.2508,5.7582,5.3866,1.0002,0,0.99
bundle1,10582,390741,0.0156,0.0208,0.0168,0.0218,0.0234,0.0258,0.0259,0.0259,0.0249,0.0258,0.0031,0,0.93
bundle_adj,513352,10360701,0.5356,0.8214,0.5439,1.199,1.4681,1.714,1.7201,1.7275,1.7383,1.7397,0.1776,0,0.98
c-42,10472,60378,0.0145,0.0118,0.0145,0.0161,0.0152,0.0152,0.0144,0.0136,0.0145,0.0135,0.0025,9,0.87
c-43,11126,67400,0.0135,0.0126,0.0137,0.0169,0.0168,0.0168,0.016,0.0152,0.0152,0.0161,0.0026,9,0.92
c-45,13207,93829,0.0085,0.0134,0.0103,0.0202,0.0202,0.0187,0.0178,0.0176,0.0178,0.0177,0.003,0,0.83
c-46,14914,72655,0.0122,0.015,0.0137,0.0209,0.0209,0.0209,0.0185,0.0184,0.0186,0.0186,0.0034,0,0.89
c-47,15344,113372,0.0205,0.0175,0.0218,0.0226,0.0218,0.0217,0.021,0.0201,0.0202,0.0203,0.0067,9,0.87
c-48,18355,92217,0.0184,0.0183,0.0186,0.025,0.0234,0.0242,0.0226,0.0218,0.0218,0.0218,0.0043,9,0.98
c-49,21133,89087,0.0191,0.0208,0.0194,0.0276,0.0258,0.025,0.0241,0.0227,0.0225,0.0226,0.005,0,0.98
c-50,22402,108013,0.0189,0.0224,0.0193,0.03,0.0291,0.0291,0.0267,0.0266,0.0258,0.0259,0.0052,0,0.98
c-51,23197,113123,0.0201,0.0232,0.0209,0.0307,0.0291,0.0282,0.0267,0.0257,0.0258,0.025,0.0053,0,0.96
c-52,23949,113332,0.02,0.024,0.021,0.0311,0.0299,0.0299,0.0274,0.0274,0.0266,0.0259,0.0054,0,0.95
c-53,30236,201224,0.022,0.029,0.0233,0.0414,0.0413,0.0405,0.0398,0.0381,0.0381,0.0373,0.0068,0,0.94
c-54,31794,211743,0.0226,0.0322,0.0242,0.0437,0.0431,0.043,0.0397,0.0397,0.0389,0.0381,0.0074,0,0.93
c-55,32781,218115,0.0275,0.0355,0.0283,0.0438,0.043,0.0429,0.039,0.0389,0.0373,0.0373,0.0096,0,0.97
c-56,35911,208405,0.0254,0.0357,0.0261,0.0482,0.0471,0.0471,0.0449,0.0438,0.0429,0.0414,0.0088,0,0.97
c-57,37834,221515,0.0218,0.0355,0.0227,0.0512,0.0512,0.0508,0.0503,0.0495,0.0487,0.0479,0.0083,0,0.96
c-58,37596,295076,0.0347,0.0445,0.0357,0.0537,0.0507,0.0504,0.0471,0.048,0.0471,0.0472,0.0194,0,0.97
c-59,41283,260909,0.0308,0.0437,0.0315,0.0544,0.0529,0.0528,0.0496,0.0488,0.0479,0.047,0.0116,0,0.98
c-60,43641,171109,0.0272,0.0412,0.0282,0.0561,0.0545,0.0545,0.0493,0.0496,0.0479,0.0471,0.0097,0,0.96
c-61,43619,176817,0.0287,0.0421,0.0299,0.0561,0.0521,0.052,0.0479,0.0455,0.0453,0.0439,0.0102,0,0.96
c-62,41732,300537,0.0341,0.0477,0.0349,0.057,0.056,0.0553,0.0505,0.0511,0.0504,0.0504,0.0137,0,0.98
c-62ghs,41732,300537,0.0341,0.0478,0.0348,0.0578,0.0562,0.0561,0.0511,0.0512,0.0503,0.0504,0.013,0,0.98
c-63,44235,239469,0.0301,0.0448,0.0308,0.0573,0.0552,0.0545,0.0505,0.0504,0.048,0.0488,0.0103,0,0.98
c-64,51036,384438,0.0317,0.0486,0.0331,0.0692,0.0667,0.0659,0.0643,0.0635,0.0627,0.061,0.0115,0,0.96
c-64b,51036,384438,0.0316,0.0486,0.0332,0.0692,0.0676,0.0659,0.0643,0.0636,0.0626,0.0611,0.0115,0,0.95
c-65,48067,204297,0.0298,0.0462,0.0308,0.0619,0.0562,0.0569,0.0529,0.052,0.0504,0.0503,0.0107,0,0.97
c-66,49990,274498,0.0296,0.0503,0.0308,0.0652,0.0643,0.0635,0.0602,0.0594,0.0586,0.057,0.0121,0,0.96
c-66b,49990,274498,0.0296,0.0503,0.0315,0.0644,0.0634,0.0635,0.0611,0.0594,0.0586,0.0567,0.012,0,0.94
c-67b,57976,294955,0.0312,0.0544,0.0332,0.0766,0.0757,0.0757,0.0741,0.0741,0.0718,0.0716,0.0127,0,0.94
c-68,64811,315408,0.0394,0.0642,0.0414,0.0855,0.0826,0.0824,0.0766,0.0758,0.0717,0.0716,0.0162,0,0.95
c-69,67459,345714,0.0401,0.0667,0.0422,0.0904,0.0844,0.0912,0.079,0.0811,0.0734,0.0742,0.0166,0,0.95
c-70,68925,363955,0.042,0.0701,0.0438,0.0882,0.0856,0.0849,0.0794,0.08,0.0817,0.0772,0.0168,0,0.96
c-71,76639,468096,0.0499,0.0815,0.0513,0.0987,0.0979,0.0971,0.0881,0.0884,0.0853,0.0857,0.0208,0,0.97
c-73,169423,724348,0.1636,0.2429,0.169,0.3567,0.3563,0.3545,0.3203,0.3153,0.3146,0.3414,0.0388,0,0.97
c-73b,169423,724348,0.1648,0.2426,0.1685,0.3297,0.3247,0.3222,0.321,0.3444,0.3147,0.309,0.038,0,0.98
ca-AstroPh,18773,198110,0.0305,0.0232,0.0307,0.0283,0.0234,0.0241,0.0242,0.0242,0.0242,0.0243,0.0058,9,0.99
ca-CondMat,23134,93497,0.0222,0.0199,0.0226,0.0225,0.02,0.0201,0.0201,0.0201,0.02,0.0201,0.0051,9,0.99
cage14,1505786,27130349,3.1476,3.2525,3.1816,5.8816,4.5816,3.4354,3.2332,3.2509,3.2514,3.2336,0.5016,0,0.99
cage15,5154860,99199551,12.2718,13.1863,12.415,21.834,17.6744,13.8243,13.197,13.188,13.1917,13.1867,1.8552,0,0.99
ca-HepPh,12009,118521,0.0206,0.0151,0.0213,0.0217,0.0177,0.0152,0.0159,0.016,0.0161,0.016,0.0031,9,0.99
caidaRouterLevel,192245,609066,0.1622,0.2391,0.1636,0.3823,0.2626,0.2473,0.2439,0.2428,0.2419,0.242,0.0435,0,0.99
cant,62452,2034917,0.0613,0.1412,0.0618,0.0889,0.1028,0.1201,0.1315,0.1307,0.134,0.1512,0.0187,0,0.99
case39,40217,526139,0.0211,0.0462,0.0225,0.0405,0.0431,0.0447,0.0462,0.0479,0.0487,0.0496,0.0091,0,0.94
case9,14455,75801,0.0076,0.0135,0.0096,0.0184,0.0167,0.0175,0.0177,0.0176,0.0176,0.0177,0.003,0,0.79
c-big,345242,1343126,0.3538,0.5525,0.3798,0.7645,0.7062,0.7136,0.6776,0.6555,0.6393,0.6082,0.089,0,0.93
cbuckle,13682,345098,0.0181,0.0233,0.0192,0.0192,0.0217,0.0233,0.0258,0.0275,0.0283,0.0291,0.0036,0,0.94
