dataSet,num_nodes,num_edges,flash
EAT_RS,23220,325592,0.0549
ecology1,1000001,2998000,1.1579
ecology2,1000000,2997995,1.1557
email-Enron,36693,183831,0.0266
Emilia_923,923137,20964171,1.4249
engine,143572,2424822,0.2604
enron,69245,276143,0.0428
eu-2005,862665,19235140,1.5564
ex11,16615,1096948,0.0472
ex19,12006,259879,0.023
F1,343792,13590452,0.9528
F2,71506,2682895,0.1464
Fault_639,638803,14626683,0.9746
fcondp2,201823,5748069,0.3116
fem_hifreq_circuit,491101,20239237,1.7057
filter3D,106438,1406808,0.1682
finance256,37377,167936,0.0261
Flan_1565,1564795,59485419,2.785
flickr,820879,9837214,2.0236
foldoc,13357,120238,0.0163
Freescale1,3428756,18920347,8.1397
fullb,199188,5953632,0.3358
FullChip,2987013,26621990,7.0206
fxm4_6,18893,258368,0.0224
G2_circuit,150103,438388,0.1773
G3_circuit,1585479,4623152,2.0597
Ga10As10H30,113082,3114357,0.2597
Ga19As19H42,133124,4508981,0.3347
Ga3As3H12,61350,3016148,0.1799
Ga41As41H72,268097,9378286,0.7273
GaAsH6,61350,1721579,0.1448
gas_sensor,66918,885141,0.0808
Ge87H76,112986,4002590,0.3143
Ge99H100,112986,4282190,0.3254
gearbox,153747,4617075,0.2635
Geo_1438,1437961,32297325,2.1825
gridgena,48963,280523,0.0251
gsm_106857,589447,11174185,3.2529
gupta1,31803,1098006,0.0598
gupta2,62065,2155175,0.1244
gupta3,16784,4670105,0.1227
gyro,17362,519260,0.0253
gyro_k,17362,519260,0.0254
gyro_m,17362,178896,0.0225
H2O,67025,1141880,0.123
halfb,224618,6306219,0.3665
Hamrle3,1447361,5514242,2.4534
hangGlider_4,15562,79088,0.014
hangGlider_5,16012,82070,0.0147
helm2d03,392258,1567096,0.5156
helm3d01,32227,230335,0.0265
hi2010,25017,62063,0.0147
hollywood-2009,1139906,57515616,5.8146
hood,220543,5494489,0.3259
Hook_1498,1498024,31207734,2.1905
HTC_336_4438,226341,565431,0.3593
HTC_336_9129,226341,554881,0.36
hugetric-00000,5824555,8733523,7.3036
human_gene1,22284,12345963,1.1023
human_gene2,14341,9041364,0.6998
HV15R,2017170,283073458,10.4571
ibm_matrix_2,51449,1056610,0.0599
igbt3,10939,234006,0.0255
in-2004,1382909,16917053,1.7243
inlet,11731,328323,0.017
inline_1,503713,18660027,1.0495
ins2,309413,1530448,0.8227
italy_osm,6686494,7013978,7.5032
jan99jac120sc,41375,260202,0.0295
juba40k,40338,144945,0.0213
k3plates,11108,378927,0.0176
kim1,38416,933195,0.0437
kkt_power,2063495,8130343,3.1527
kron_g500-logn16,65537,2456398,0.3446
kron_g500-logn17,131073,5114375,0.8005
kron_g500-logn18,262145,10583222,1.7033
kron_g500-logn19,524289,21781478,3.5921
kron_g500-logn20,1048577,44620272,7.683
laminar_duct3D,67174,3833077,0.1779
language,399131,1216334,0.6118
largebasis,440021,5560100,1.0254
ldoor,952204,23737339,1.5092
lhr34,35153,764014,0.041
lhr34c,35153,764014,0.0409
lhr71,70305,1528092,0.1092
lhr71c,70305,1528092,0.109
li,22696,1350309,0.0667
ljournal-2008,5363261,79023142,16.8667
Long_Coup_dt0,1470153,44279572,2.4684
