dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
Chebyshev4,68122,5377761,0.3312,0.9941,0.3935,0.4295,0.4819,0.4844,0.5434,0.5314,0.6335,0.6342,0,0.84
circuit_4,80210,307604,0.0596,0.0618,0.0601,0.0569,0.0446,0.0602,0.0618,0.0618,0.0618,0.0609,24,1.34
circuit5M,5558327,59524291,16.3571,17.0844,17.3635,17.3927,15.9244,15.842,17.1618,17.161,17.1941,17.1989,32,1.03
circuit5M_dc,3523318,19194193,6.6716,5.2721,6.2156,6.5422,6.5072,6.0037,5.3386,5.2706,5.2731,5.2718,48,1.0
citationCiteseer,268496,1156647,0.3045,0.2176,0.3221,0.3269,0.2173,0.2177,0.2293,0.2294,0.2295,0.2296,24,1.0
cit-Patents,3774769,16518948,17.6299,7.3998,20.0859,18.9044,7.4765,7.4281,7.4011,7.4025,7.403,7.4028,128,1.0
ckt11752_dc_1,49703,333029,0.0412,0.0446,0.038,0.0404,0.0364,0.0371,0.0396,0.0421,0.042,0.0429,24,1.13
ckt11752_tr_0,49703,333029,0.0415,0.0446,0.0389,0.0404,0.0363,0.0373,0.0404,0.0421,0.0421,0.0421,24,1.14
cnr-2000,325558,3216152,0.2695,0.5795,0.3129,0.3278,0.333,0.3323,0.3326,0.3314,0.3333,0.334,0,0.86
CO,221120,3943588,0.4852,0.4872,0.5992,0.7269,0.4507,0.4517,0.4533,0.4603,0.4696,0.4886,24,1.08
coAuthorsCiteseer,227321,814134,0.1312,0.172,0.1374,0.1449,0.148,0.1512,0.1538,0.1551,0.1572,0.158,0,0.95
coAuthorsDBLP,299068,977676,0.1878,0.2267,0.2046,0.2121,0.2198,0.2186,0.2187,0.2195,0.2243,0.2214,0,0.92
cond-mat-2003,31164,120029,0.0228,0.0227,0.0232,0.0224,0.0207,0.0208,0.0224,0.0233,0.0231,0.0232,24,1.1
cond-mat-2005,40422,175693,0.0305,0.0302,0.0322,0.033,0.0273,0.0273,0.0289,0.0298,0.0306,0.0306,24,1.11
conf5_4-8x8-05,49153,1916928,0.117,0.4097,0.1486,0.174,0.1707,0.1707,0.1772,0.1757,0.2322,0.2321,0,0.79
conf5_4-8x8-10,49153,1916928,0.1173,0.4099,0.1486,0.174,0.1707,0.1707,0.1772,0.1755,0.2321,0.2313,0,0.79
conf5_4-8x8-15,49153,1916928,0.1173,0.4099,0.1486,0.174,0.1658,0.1714,0.1772,0.1789,0.2321,0.2313,0,0.79
conf5_4-8x8-20,49153,1916928,0.1175,0.4097,0.1486,0.1698,0.1707,0.1707,0.1772,0.1781,0.2305,0.2312,0,0.79
conf6_0-8x8-20,49153,1916928,0.1171,0.4099,0.1485,0.1731,0.1707,0.1706,0.1772,0.1756,0.2321,0.2313,0,0.79
conf6_0-8x8-30,49153,1916928,0.1174,0.4097,0.1485,0.1633,0.1707,0.1707,0.1772,0.1789,0.2305,0.2313,0,0.79
conf6_0-8x8-80,49153,1916928,0.1171,0.4096,0.1486,0.1748,0.1707,0.1657,0.1731,0.1756,0.2321,0.2313,0,0.79
consph,83335,3046907,0.137,0.6008,0.1611,0.1902,0.1796,0.1803,0.1753,0.1853,0.1861,0.1952,0,0.85
cont-201,80596,239596,0.0397,0.0489,0.0396,0.0584,0.0585,0.0494,0.0486,0.0486,0.0494,0.0487,8,1.0
cont-300,180896,539396,0.1085,0.106,0.1065,0.1653,0.1717,0.1058,0.1059,0.1059,0.1059,0.1058,32,1.0
coPapersCiteseer,434103,16036720,0.7389,3.0511,0.8972,0.9355,0.9312,0.9339,0.974,0.9931,1.0613,1.0978,0,0.82
coPapersDBLP,540487,15245729,0.8653,2.738,1.0624,1.0779,1.0416,1.0221,1.0588,1.0764,1.143,1.1657,0,0.85
copter1,17223,114143,0.0223,0.0163,0.019,0.0191,0.0133,0.0133,0.0166,0.0166,0.0166,0.0166,24,1.23
CoupCons3D,416801,22322336,0.9577,4.0855,1.4019,1.5599,1.513,1.4751,1.4954,1.4959,1.5791,1.6664,0,0.68
crankseg_1,52805,5333507,0.2116,1.117,0.2772,0.2755,0.3092,0.3197,0.3435,0.3496,0.4335,0.4434,0,0.77
crankseg_2,63839,7106348,0.3016,1.5111,0.3697,0.4418,0.4386,0.4399,0.4671,0.4704,0.595,0.6096,0,0.82
crplat2,18011,489478,0.0253,0.0698,0.0248,0.0243,0.0215,0.0223,0.0224,0.0232,0.0256,0.0257,24,1.18
crystk02,13966,491274,0.0276,0.0964,0.0298,0.0265,0.0257,0.0256,0.0265,0.0273,0.0289,0.0297,32,1.08
crystk03,24697,887937,0.0422,0.1705,0.0486,0.0469,0.0453,0.0478,0.0494,0.0511,0.0519,0.0527,0,0.93
crystm02,13966,168435,0.0264,0.0244,0.024,0.0257,0.0207,0.0207,0.0233,0.0248,0.024,0.0241,24,1.18
crystm03,24697,304233,0.039,0.0404,0.0413,0.0412,0.038,0.0387,0.038,0.0405,0.0404,0.0404,24,1.03
ct2010,67579,168176,0.0384,0.036,0.0429,0.0445,0.0363,0.0363,0.0364,0.0364,0.0364,0.0363,128,0.99
ct20stif,52330,1375396,0.0633,0.2043,0.0682,0.065,0.0683,0.0707,0.0724,0.0764,0.0813,0.0855,0,0.97
Cube_Coup_dt0,2164761,64685452,2.808,8.3207,4.2934,4.5669,4.3931,4.554,4.2048,4.4073,4.4445,4.6202,0,0.67
Cube_Coup_dt6,2164761,64685452,2.8019,8.3248,4.6252,4.6725,4.3919,4.3459,4.5446,4.2692,4.3881,4.6186,0,0.66
CurlCurl_0,11084,62213,0.0092,0.0103,0.0085,0.0077,0.0076,0.0076,0.0093,0.011,0.0109,0.011,24,1.21
CurlCurl_4,2380516,14448191,1.442,2.2484,1.734,2.3536,2.3485,2.3464,2.6484,2.3576,2.2495,2.2499,0,0.83
cvxqp3,17501,69981,0.017,0.0137,0.0183,0.0183,0.0133,0.0134,0.0134,0.0134,0.0134,0.0134,24,1.03
cyl6,13682,363961,0.0192,0.0404,0.0183,0.0182,0.0183,0.0199,0.0199,0.0167,0.0167,0.0174,48,1.15
darcy003,389875,1167685,0.5365,0.3692,0.6044,0.6096,0.3861,0.3779,0.3775,0.379,0.3777,0.3779,128,0.98
dawson5,51538,531157,0.0492,0.066,0.0527,0.056,0.0535,0.0535,0.0535,0.0527,0.0551,0.0593,0,0.93
dblp-2010,326187,807700,0.2155,0.2168,0.1966,0.2015,0.2097,0.2063,0.2045,0.2052,0.2063,0.2076,8,1.1
dc3,116836,766396,0.0971,0.1183,0.1107,0.114,0.1124,0.1083,0.114,0.1148,0.1166,0.1173,0,0.9
de2010,24116,58028,0.0167,0.0195,0.0183,0.0159,0.0191,0.0192,0.0191,0.0192,0.0191,0.0192,16,1.05
debr,1048577,2097149,1.4089,1.0163,1.6187,1.5489,1.0155,1.0154,1.0158,1.0274,1.032,1.033,32,1.0
delaunay_n15,32769,98274,0.0178,0.0182,0.0142,0.0134,0.0142,0.0184,0.0191,0.0191,0.0191,0.0191,16,1.33
