dataSet,num_nodes1,num_edges1,time
c-58,37596,295076,0.021
c-59,41283,260909,0.0187
c-60,43641,171109,0.0131
c-61,43619,176817,0.0135
c-62,41732,300537,0.0211
c-62ghs,41732,300537,0.0211
c-63,44235,239469,0.0174
c-64,51036,384438,0.0263
c-64b,51036,384438,0.0264
c-65,48067,204297,0.0152
c-66,49990,274498,0.0196
c-66b,49990,274498,0.0196
c-67b,57976,294955,0.0209
c-68,64811,315408,0.0227
c-69,67459,345714,0.0244
c-70,68925,363955,0.0255
c-71,76639,468096,0.0324
c-73,169423,724348,0.0495
c-73b,169423,724348,0.0496
ca-AstroPh,18773,198110,0.0142
ca-CondMat,23134,93497,0.0077
cage14,1505786,27130349,1.5853
cage15,5154860,99199551,6.0679
ca-HepPh,12009,118521,0.0092
caidaRouterLevel,192245,609066,0.04
cant,62452,2034917,0.1275
case39,40217,526139,0.0347
case9,14455,75801,0.0068
c-big,345242,1343126,0.1124
cbuckle,13682,345098,0.0232
ccc,49153,73728,0.0075
cfd1,70657,949510,0.0605
Chebyshev4,68122,5377761,0.323
circuit_4,80210,307604,0.0209
circuit5M,5558327,59524291,5.2296
circuit5M_dc,3523318,19194193,1.8269
citationCiteseer,268496,1156647,0.0744
cit-Patents,3774769,16518948,1.8324
ckt11752_dc_1,49703,333029,0.0225
ckt11752_tr_0,49703,333029,0.0224
cnr-2000,325558,3216152,0.2139
CO,221120,3943588,0.2387
coAuthorsCiteseer,227321,814134,0.0523
coAuthorsDBLP,299068,977676,0.063
cond-mat-2003,31164,120029,0.0092
cond-mat-2005,40422,175693,0.0127
conf5_4-8x8-05,49153,1916928,0.1203
conf5_4-8x8-10,49153,1916928,0.1203
conf5_4-8x8-15,49153,1916928,0.1203
conf5_4-8x8-20,49153,1916928,0.1203
conf6_0-8x8-20,49153,1916928,0.1203
conf6_0-8x8-30,49153,1916928,0.1203
conf6_0-8x8-80,49153,1916928,0.1203
consph,83335,3046907,0.1896
cont-201,80596,239596,0.0182
cont-300,180896,539396,0.0383
coPapersCiteseer,434103,16036720,0.9443
coPapersDBLP,540487,15245729,0.892
copter1,17223,114143,0.0088
CoupCons3D,416801,22322336,1.2839
crankseg_1,52805,5333507,0.3203
crankseg_2,63839,7106348,0.4218
crplat2,18011,489478,0.0321
crystk02,13966,491274,0.0322
crystk03,24697,887937,0.0567
crystm02,13966,168435,0.0123
crystm03,24697,304233,0.0206
ct2010,67579,168176,0.0128
ct20stif,52330,1375396,0.0873
Cube_Coup_dt0,2164761,64685452,3.6932
Cube_Coup_dt6,2164761,64685452,3.6932
CurlCurl_0,11084,62213,0.0056
CurlCurl_4,2380516,14448191,0.8885
cvxqp3,17501,69981,0.0062
cyl6,13682,363961,0.0243
darcy003,389875,1167685,0.0777
dawson5,51538,531157,0.0347
dblp-2010,326187,807700,0.0523
dc3,116836,766396,0.0493
de2010,24116,58028,0.0057
debr,1048577,2097149,0.349
delaunay_n15,32769,98274,0.008
delaunay_n16,65537,196575,0.0142
delaunay_n17,131073,393176,0.0266
delaunay_n18,262145,786396,0.0514
delaunay_n19,524289,1572823,0.1523
delaunay_n20,1048577,3145686,0.3131
delaunay_n21,2097153,6291408,0.6387
delaunay_n22,4194305,12582869,1.275
denormal,89401,622812,0.0403
dictionary28,52653,89038,0.0074
dielFilterV2clx,607233,12958252,0.7575
dielFilterV2real,1157457,24848204,1.4213
dielFilterV3clx,420409,16653308,0.9673
Dubcova1,16130,134569,0.0101
Dubcova3,146690,1891669,0.1189
e40r0100,17282,553562,0.0362
EAT_RS,23220,325592,0.022
ecology1,1000001,2998000,0.3128
ecology2,1000000,2997995,0.3127
email-Enron,36693,183831,0.0133
Emilia_923,923137,20964171,1.2046
engine,143572,2424822,0.1516
enron,69245,276143,0.0193
eu-2005,862665,19235140,1.1247
ex11,16615,1096948,0.0696
ex19,12006,259879,0.018
F1,343792,13590452,0.7962
F2,71506,2682895,0.1681
Fault_639,638803,14626683,0.8463
fcondp2,201823,5748069,0.3438
fem_hifreq_circuit,491101,20239237,1.1667
filter3D,106438,1406808,0.0887
finance256,37377,167936,0.0122
Flan_1565,1564795,59485419,3.3957
flickr,820879,9837214,0.6317
foldoc,13357,120238,0.0092
Freescale1,3428756,18920347,2.1203
fullb,199188,5953632,0.356
FullChip,2987013,26621990,2.2759
fxm4_6,18893,258368,0.0178
