dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
c-49,21133,89087,0.0143,0.0128,0.0151,0.0151,0.0135,0.0136,0.0135,0.0135,0.0135,0.0135,128,0.95
c-50,22402,108013,0.0149,0.0136,0.0159,0.016,0.0143,0.0135,0.0135,0.0143,0.0143,0.0143,32,1.01
c-51,23197,113123,0.0158,0.0138,0.0159,0.0167,0.0143,0.0142,0.0143,0.0144,0.0143,0.0143,128,0.97
c-52,23949,113332,0.0159,0.0142,0.0167,0.0167,0.0151,0.0151,0.0143,0.0142,0.0151,0.0151,128,1.0
c-53,30236,201224,0.016,0.0173,0.0168,0.0192,0.0176,0.0176,0.0176,0.0175,0.0176,0.0176,0,0.95
c-54,31794,211743,0.0208,0.0181,0.0209,0.0225,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,128,0.94
c-55,32781,218115,0.0208,0.0201,0.0217,0.0217,0.0201,0.0201,0.02,0.0192,0.0192,0.0193,48,1.05
c-56,35911,208405,0.0227,0.0207,0.0233,0.025,0.0208,0.0216,0.0208,0.0208,0.0209,0.0209,128,1.0
c-57,37834,221515,0.0103,0.021,0.0101,0.02,0.0216,0.0217,0.0216,0.0217,0.0216,0.0217,8,1.02
c-58,37596,295076,0.0253,0.0252,0.0266,0.0266,0.0274,0.0275,0.0249,0.025,0.025,0.0249,40,1.01
c-59,41283,260909,0.0263,0.0243,0.0266,0.0274,0.025,0.0241,0.0241,0.0242,0.0233,0.0242,56,1.04
c-60,43641,171109,0.0274,0.0241,0.0282,0.0291,0.0242,0.0249,0.0241,0.0241,0.0249,0.0249,128,1.0
c-61,43619,176817,0.0272,0.024,0.0274,0.029,0.025,0.025,0.0241,0.0242,0.0249,0.0249,128,1.0
c-62,41732,300537,0.0268,0.0254,0.0274,0.0274,0.0258,0.0258,0.025,0.0249,0.025,0.025,48,1.02
c-62ghs,41732,300537,0.0267,0.0253,0.0274,0.0274,0.0258,0.0258,0.0249,0.025,0.0249,0.025,40,1.02
c-63,44235,239469,0.0275,0.025,0.0282,0.029,0.0258,0.0258,0.0257,0.0253,0.025,0.025,128,1.0
c-64,51036,384438,0.0185,0.0278,0.02,0.0291,0.0282,0.0283,0.029,0.029,0.029,0.029,0,0.92
c-64b,51036,384438,0.0191,0.0278,0.0201,0.029,0.0282,0.029,0.0291,0.0291,0.029,0.0291,0,0.95
