dataSet,num_nodes,num_edges,dtc
brainpc2,27608,96601,0.08263679593801498
bratu3d,27793,88627,0.1013759970664978
Bump_2911,2911420,65320659,11.316838264465332
bundle1,10582,390741,0.05683199688792229
bundle_adj,513352,10360701,1.7367041110992432
c-42,10472,60378,0.06389759480953217
c-43,11126,67400,0.06420479714870453
c-45,13207,93829,0.06492160260677338
c-46,14914,72655,0.07044799625873566
c-47,15344,113372,0.0770048052072525
c-48,18355,92217,0.07034239917993546
c-49,21133,89087,0.0742143988609314
c-50,22402,108013,0.07485439628362656
c-51,23197,113123,0.07677759975194931
c-52,23949,113332,0.07811839878559113
c-53,30236,201224,0.0953408032655716
c-54,31794,211743,0.09594880044460297
c-55,32781,218115,0.09847360104322433
c-56,35911,208405,0.10270719230175018
c-57,37834,221515,0.10632000118494034
c-58,37596,295076,0.15800319612026215
c-59,41283,260909,0.13876160979270935
c-60,43641,171109,0.11865279823541641
c-61,43619,176817,0.11798399686813354
c-62,41732,300537,0.13783040642738342
c-62ghs,41732,300537,0.13541120290756226
c-63,44235,239469,0.11919359862804413
c-64,51036,384438,0.15933439135551453
c-64b,51036,384438,0.16114559769630432
c-65,48067,204297,0.12736959755420685
c-66,49990,274498,0.1517471969127655
c-66b,49990,274498,0.15370240807533264
c-67b,57976,294955,0.14847999811172485
c-68,64811,315408,0.18298879265785217
c-69,67459,345714,0.18278399109840393
c-70,68925,363955,0.21562239527702332
c-71,76639,468096,0.2457600086927414
c-73,169423,724348,0.5744416117668152
c-73b,169423,724348,0.5623968243598938
ca-AstroPh,18773,198110,0.12255680561065674
ca-CondMat,23134,93497,0.10703680664300919
cage14,1505786,27130349,8.552831649780273
cage15,5154860,99199551,32.722843170166016
ca-HepPh,12009,118521,0.08355839550495148
caidaRouterLevel,192245,609066,0.6583360433578491
cant,62452,2034917,0.19476480782032013
case39,40217,526139,0.08714240044355392
case9,14455,75801,0.05368319898843765
c-big,345242,1343126,1.2268544435501099
cbuckle,13682,345098,0.05365759879350662
ccc,49153,73728,0.16416320204734802
cfd1,70657,949510,0.22036480903625488
Chebyshev4,68122,5377761,0.4160512089729309
circuit_4,80210,307604,0.25147199630737305
circuit5M_dc,3523318,19194193,13.86115837097168
citationCiteseer,268496,1156647,1.0180608034133911
