dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
shipsec8,114920,3384159,0.204,0.2061,0.1873,0.1915
pdb1HYS,36418,2190591,0.1089,0.1053,0.1027,0.0989
pkustk05,37165,1121154,0.0916,0.0826,0.0855,0.0781
TSOPF_FS_b300,29215,2203949,0.095,0.0869,0.0813,0.0726
ecl32,51994,380415,0.0754,0.0768,0.0689,0.0712
t3dh,79172,2215638,0.1922,0.1906,0.1719,0.1715
p010,19091,118000,0.5433,0.0302,0.6421,0.0264
soc-sign-Slashdot090221,82145,549202,0.159,0.1364,0.1549,0.1247
bmw3_2,227363,5757996,0.3589,0.3397,0.3352,0.3244
ESOC,327063,6019939,0.8024,0.8061,0.6618,0.6728
Trefethen_20000b,20000,287217,0.0559,0.0566,0.0474,0.0484
af_shell9,504856,9046865,0.527,0.5461,0.5131,0.5383
inlet,11731,328323,0.0268,0.0271,0.0237,0.0242
shermanACb,18511,145149,0.7054,0.0345,0.7413,0.0317
TSOPF_FS_b162_c4,40799,1204322,0.0636,0.0644,0.0556,0.0556
IG5-16,18847,588326,0.1194,0.1125,0.1048,0.0959
JP,87617,13734559,2.0911,2.0984,1.7325,1.737
std1_Jac3,21983,1455848,0.1869,0.1089,0.1785,0.0928
ASIC_680k,682863,3871773,53.154,0.9628,56.618,0.9695
t3dh_a,79172,2215638,0.1925,0.1904,0.1717,0.1713
TSOPF_RS_b39_c19,38099,684206,0.0542,0.0554,0.0503,0.0521
GL7d19,1955310,37322725,11.51,12.7434,11.5559,12.8741
TSOPF_FS_b300_c1,29215,2203949,0.0951,0.0864,0.0806,0.0723
torsion1,40001,118804,0.0346,0.0373,0.0358,0.0384
mark3jac040,18290,113435,0.0264,0.0269,0.0243,0.0251
ca2010,710146,1744683,0.5522,0.5763,0.5509,0.5767
neos3,518833,2055024,0.7735,0.4836,0.8037,0.4776
bodyy4,17547,69742,0.0158,0.0163,0.0148,0.0156
ford2,100197,322442,0.0867,0.0907,0.0878,0.0921
patents_main,240548,560943,0.1953,0.1931,0.1922,0.1931
sparsine,50001,799494,0.1868,0.187,0.1629,0.1642
wave,156318,1059331,0.1706,0.1753,0.1652,0.1711
dielFilterV2real,1157457,24848204,2.6534,2.6808,2.2818,2.3694
bmwcra_1,148771,5396386,0.3335,0.3208,0.2995,0.2944
net4-1,88344,1265035,0.2778,0.2551,0.2497,0.2267
windscreen,22693,752541,0.0476,0.0479,0.0416,0.0423
g7jac060sc,17731,203316,0.0454,0.0403,0.0424,0.0368
gas_sensor,66918,885141,0.1081,0.1096,0.0987,0.1018
jan99jac120,41375,260202,0.0517,0.0533,0.0502,0.0524
t2dah_e,11446,93781,0.0127,0.0131,0.0117,0.0124
venturiLevel3,4026820,8054237,2.9089,3.0412,2.928,3.0601
ncvxqp7,87501,312481,0.0855,0.0889,0.0823,0.0869
dc3,116836,766396,15.6273,0.157,15.5738,0.1567
fullb,199188,5953632,0.3036,0.3088,0.2901,0.2984
lpl3,33687,100525,0.198,0.0296,0.2254,0.0282
t3dh_e,79172,2215638,0.1921,0.1906,0.1716,0.1716
internet,124652,207214,0.1124,0.1084,0.1161,0.1094
vt2010,32581,77799,0.0281,0.029,0.0262,0.0278
qa8fk,66128,863353,0.0978,0.1,0.0915,0.0949
roadNet-TX,1393384,1921660,0.85,0.904,0.8403,0.8917
c-69,67459,345714,0.4813,0.0819,0.5553,0.0823
sme3Dc,42931,3148656,0.6238,0.602,0.5263,0.5036
LargeRegFile,2111155,4944201,1.1481,1.2625,1.1185,1.2312
mk13-b5,270271,810810,0.1963,0.2014,0.1947,0.2003
as-Skitter,1696416,11095298,1.8436,1.8995,1.7732,1.8384
TSOPF_FS_b39_c7,28217,368599,0.0295,0.0298,0.0267,0.0271
helm3d01,32227,230335,0.0435,0.0444,0.0389,0.0402
human_gene2,14341,9041364,1.4161,0.9359,1.3164,0.7777
wathen100,30402,251001,0.0327,0.034,0.0291,0.0305
thermomech_dM,204317,813716,0.2301,0.2374,0.2252,0.2332
s3dkt3m2,90450,1921955,0.1076,0.111,0.1044,0.1088
bcsstk29,13993,316740,0.0268,0.0271,0.0246,0.0253
soc-Slashdot0811,77361,905468,0.4373,0.2079,0.4271,0.1862
tp-6,1014302,11537419,115.3984,2.1318,116.4621,1.9995
GL7d18,1955310,35590540,10.9293,12.2326,10.9487,12.3601
psse0,26723,102432,0.0174,0.0182,0.0164,0.0173
c-42,10472,60378,0.0545,0.0174,0.059,0.0174
mn2010,259778,613551,0.1942,0.2047,0.1947,0.2052
opt1,15450,973052,0.0612,0.056,0.0558,0.0497
F2,71506,2682895,0.2,0.1947,0.1836,0.178
c-61,43619,176817,0.2816,0.0501,0.2856,0.0485
barrier2-1,113077,3805068,1.3244,0.549,1.2476,0.4816
wathen120,36442,301101,0.0397,0.0415,0.0382,0.0405
cfd1,70657,949510,0.1134,0.1152,0.1034,0.1067
