dataSet,num_nodes,num_edges,spmm_tcu_sgt
mark3jac060,27450,170695,0.0369
GL7d14,171376,1831183,0.4026
engine,143572,2424822,0.3426
kron_g500-logn19,524289,21781478,1000000000
world,67148,198883,0.7991
cont-201,80596,239596,0.0603
c-52,23949,113332,0.4124
bcircuit,68903,375558,0.0728
bbmat,38745,1771722,0.1811
pa2010,421546,1029231,0.3368
gupta2,62065,2155175,0.2556
Zd_Jac6_db,22836,663643,0.1991
mark3jac120sc,54930,342475,0.0711
EAT_SR,23220,325589,0.0943
dixmaanl,60001,179999,0.0499
af23560,23561,484256,0.0529
ch8-8-b4,376321,1881600,0.4062
south31,36322,112398,0.0448
c-48,18355,92217,0.1775
msc10848,10849,620313,0.1415
n4c6-b8,198896,1790055,0.3564
Ge99H100,112986,4282190,0.6634
c-43,11126,67400,0.0374
citationCiteseer,268496,1156647,0.5381
TSOPF_FS_b39_c30,120217,1575639,0.1431
onetone2,36058,227628,0.0393
Hook_1498,1498024,31207734,1000000000
blockqp1,60013,340022,106.8859
ch7-7-b5,52921,211680,0.0459
mario001,38435,114643,0.0285
net125,36721,1306960,0.3637
igbt3,10939,234006,0.0509
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.6044
crashbasis,160001,1750416,0.2347
ecology2,1000000,2997995,0.7882
matrix_9,103431,2121550,5.583
webbase-1M,1000006,3105536,1000000000
lowThrust_7,17379,110607,0.0237
HEP-th-new,27771,352807,0.1808
turon_m,189925,912345,0.1753
rajat22,39900,197264,1.1824
viscorocks,37763,1162244,0.0986
ri2010,25182,62875,0.0251
Maragal_8,75078,1308415,24.1693
onera_dual,85568,252384,0.0719
Dubcova3,146690,1891669,0.183
vsp_c-60_data_cti_cs4,85831,241080,0.6592
Dubcova2,65026,547625,0.0818
fome21,216351,465294,0.1255
cbuckle,13682,345098,0.1152
coPapersCiteseer,434103,16036720,1000000000
coAuthorsDBLP,299068,977676,0.2264
D6-6,120577,146880,0.0484
darcy003,389875,1167685,0.3254
c-55,32781,218115,0.9183
rajat16,94295,641159,56.2355
para-8,155925,5416358,1000000000
bone010,986704,36326514,1000000000
mono_500Hz,169411,5036288,1000000000
kron_g500-logn16,65537,2456398,8.7401
Ill_Stokes,20897,191368,0.0473
bfly,49153,98304,0.0329
fxm4_6,18893,258368,0.0605
vsp_befref_fxm_2_4_air02,14110,98224,0.0262
s3dkq4m2,90450,2455670,0.1602
bauru5727,40367,145019,0.0367
foldoc,13357,120238,0.0365
flickr,820879,9837214,1000000000
n4c6-b10,186559,1456422,0.294
SiO,33402,675528,0.2765
lhr17c,17577,381975,0.0441
n4c6-b5,51814,310878,0.0635
tsyl201,20686,1237821,0.1886
ldoor,952204,23737339,1000000000
graphics,29494,117954,0.0177
soc-Epinions1,75889,508837,0.82
rgg_n_2_20_s0,1048577,6891620,1000000000
boyd1,93280,652246,6338.561
std1_Jac2_db,21983,498771,0.1543
net50,16321,480760,0.1985
olafu,16147,515651,0.0482
kron_g500-logn17,131073,5114375,1000000000
ted_A_unscaled,10606,424587,0.0576
Maragal_7,46846,1200537,58.4427
struct3,53571,613632,0.0675
atmosmodm,1489753,10319760,1000000000
rajat15,37262,443573,1.0478
venkat01,62425,1717792,0.1738
neos,515906,1526794,0.4101
Cube_Coup_dt0,2164761,64685452,1000000000
Fault_639,638803,14626683,1000000000
Si34H36,97570,2626974,0.466
Stanford,281904,2312497,108.928
wy2010,86205,213793,0.0916
scagr7-2r,46680,120141,0.0282
m_t1,97579,4925574,0.4218
ohne2,181344,11063545,1000000000
tandem_vtx,18455,135902,0.0297
Rucci1,1977886,7791168,1000000000
PR02R,161071,8185136,1000000000
fe_tooth,78137,452591,0.0906
gyro_m,17362,178896,0.0369
c-73b,169423,724348,0.1549
sc2010,181909,446580,0.1547
bloweya,30005,80005,7.5043
a2nnsnsl,80017,196115,7.7321
lhr10c,10673,232633,0.0312
GL7d17,1548651,25978098,1000000000
dbir1,45776,1077025,5.2148
me2010,69519,167738,0.0681
largebasis,440021,5560100,1000000000
c-70,68925,363955,1.8498
p2p-Gnutella31,62587,147892,0.0564
mk12-b3,51976,207900,0.0453
vsp_mod2_pgp2_slptsk,101365,389368,0.229
mark3jac060sc,27450,170695,0.0371
av41092,41093,1683902,2.2383
filter3D,106438,1406808,0.2113
dc2,116836,766396,3733.2671
n4c6-b9,198896,1865580,0.3735
ut2010,115407,286033,0.1034
bcsstk30,28925,1036208,0.1207
cit-HepPh,34547,421578,0.1327
e40r0100,17282,553562,0.0781
fome13,97841,285056,0.1045
ship_001,34921,2339575,0.2343
af_shell5,504856,9046865,1000000000
SiO2,155332,5719417,1000000000
Chevron2,90250,803173,0.097
c-50,22402,108013,0.346
g7jac180sc,53371,747276,0.1522
c-big,345242,1343126,27.0738
ncvxbqp1,50001,199984,0.0545
iChem_Jacobian,274088,4137369,0.5896
Zd_Jac6,22836,1711983,1.3449
pwtk,217919,5926171,1000000000
pltexpa,70365,143059,0.0423
web-Stanford,281904,2312497,0.5645
garon2,13536,390607,0.0775
TSOPF_RS_b162_c4,20375,812749,0.0728
g7jac100,29611,384636,0.0867
atmosmodd,1270433,8814880,1000000000
shallow_water1,81921,204800,0.0634
poisson3Db,85624,2374949,0.581
human_gene1,22284,12345963,1000000000
cont1_l,1921597,7031999,1000000000
Si10H16,17078,446500,0.1102
tmt_sym,726714,2903837,0.5853
cat_ears_4_4,44449,132888,0.0344
nv2010,84539,208499,0.0782
G3_circuit,1585479,4623152,1000000000
mip1,66464,5209641,1000000000
delaunay_n15,32769,98274,0.0232
conf5_4-8x8-05,49153,1916928,0.217
c-63,44235,239469,1.0871
web-BerkStan,685231,7600595,1000000000
mri1,147457,589824,0.0936
hangGlider_5,16012,82070,4.0428
pkustk01,22045,500712,0.0748
nd24k,72001,14393817,1000000000
ok2010,269119,637074,0.2191
c-71,76639,468096,3.8013
s4dkt3m2,90450,1921955,0.1386
af_0_k101,503626,9027150,1000000000
rgg_n_2_19_s0,524289,3269766,0.7523
pkustk02,10801,410400,0.0874
mult_dcop_01,25188,193276,35.3044
debr,1048577,2097149,1000000000
nlpkkt120,3542401,50194096,1000000000
