dataSet,num_nodes,num_edges,spmm_tcu_sgt
luxembourg_osm,114600,119666,0.0929
m14b,214766,1679018,0.4746
mario001,38435,114643,0.0389
mario002,389875,1167685,0.4572
mark3jac040sc,18290,113435,0.0359
mark3jac060sc,27450,170695,0.05
me2010,69519,167738,0.0976
memplus,17759,126150,0.3688
mip1,66464,5209641,1000000000
ML_Laplace,377003,27689972,1000000000
mouse_gene,45102,14506196,1000000000
msc10848,10849,620313,0.2371
msc23052,23053,588933,0.1725
msdoor,415864,10328399,1000000000
m_t1,97579,4925574,0.6611
mult_dcop_01,25188,193276,69.7719
mult_dcop_02,25188,193276,69.8613
mult_dcop_03,25188,193216,69.8345
NACA0015,1039184,3114818,1000000000
nasasrb,54871,1366097,0.1835
nd12k,36001,7128473,1000000000
nd24k,72001,14393817,1000000000
nd6k,18001,3457658,1.0658
net100,29921,1031560,0.4846
net125,36721,1306960,0.5754
net150,43521,1582360,0.6504
net4-1,88344,1265035,0.5826
net50,16321,480760,0.3085
net75,23121,756160,0.4192
netherlands_osm,2216689,2441238,1000000000
nh2010,48838,117275,0.0597
NLR,4163764,12487976,1000000000
NotreDame_www,325730,929849,0.2632
nv2010,84539,208499,0.1011
ohne2,181344,11063545,1000000000
oilpan,73753,1835470,0.1848
olafu,16147,515651,0.0714
onetone2,36058,227628,0.0583
OPF_10000,43888,255799,0.075
opt1,15450,973052,0.2038
p2p-Gnutella31,62587,147892,0.0825
parabolic_fem,525826,2100225,0.7094
patents,3774769,14970767,1000000000
pattern1,19243,4671337,18.9773
pcrystk02,13966,491274,0.0703
pcrystk03,24697,887937,0.1203
pct20stif,52330,1375396,0.2908
pdb1HYS,36418,2190591,0.3227
pds10,16559,83108,0.046
PFlow_742,742794,18940627,1000000000
pkustk01,22045,500712,0.1191
pkustk02,10801,410400,0.1374
pkustk03,63337,1596876,0.2298
pkustk04,55591,2137125,9.5887
pkustk05,37165,1121154,0.2324
pkustk06,43165,1307466,0.2375
pkustk07,16861,1217832,0.5523
pkustk08,22210,1624440,0.6726
pkustk09,33961,808800,0.1372
pkustk10,80677,2194830,0.3242
pkustk11,87805,2652858,0.4214
pkustk12,94654,3803485,32.5226
pkustk13,94894,3355860,0.7095
pkustk14,151927,7494215,1000000000
pli,22696,686502,0.1229
PR02R,161071,8185136,1000000000
Pres_Poisson,14823,365313,0.0646
pwtk,217919,5926171,1000000000
qa8fk,66128,863353,0.1405
qa8fm,66128,863353,0.1405
raefsky3,21201,1488768,0.1652
raefsky4,19780,674195,0.1111
rajat15,37262,443573,1.9953
rajat22,39900,197264,2.2451
rajat26,51033,249302,5.1702
rajat29,643995,4866270,83361.3906
rajat30,643995,6175377,1000000000
ramage02,16831,1441591,0.308
Reuters911,13333,148038,1.1578
rgg_n_2_15_s0,32769,160240,0.0596
rgg_n_2_22_s0,4194305,30359198,1000000000
ri2010,25182,62875,0.0305
rim,22561,1014951,0.1629
RM07R,381690,37464962,1000000000
rma10,46836,2374001,0.3401
roadNet-CA,1971282,2766607,1000000000
roadNet-PA,1090921,1541898,1000000000
roadNet-TX,1393384,1921660,1000000000
s3dkq4m2,90450,2455670,0.223
s3dkt3m2,90450,1921955,0.1832
s4dkt3m2,90450,1921955,0.184
Serena,1391350,32961525,1000000000
shermanACb,18511,145149,16.041
ship_001,34921,2339575,0.3709
ship_003,121729,4103881,0.5051
shipsec1,140875,3977139,0.5116
shipsec5,179861,5146478,1000000000
shipsec8,114920,3384159,0.4021
Si10H16,17078,446500,0.1765
Si34H36,97570,2626974,0.7064
Si41Ge41H72,185640,7598452,1000000000
Si5H12,19897,379247,0.193
Si87H76,240370,5451000,1000000000
sinc15,11533,568526,0.2625
SiO,33402,675528,0.4553
SiO2,155332,5719417,1000000000
skirt,12599,104559,0.0264
smallworld,100001,499998,0.1205
sme3Dc,42931,3148656,2.1104
smt,25711,1889447,0.3308
soc-LiveJournal1,4847572,68993773,1000000000
soc-sign-Slashdot090221,82145,549202,0.4116
sparsine,50001,799494,0.3054
srb1,54925,1508538,0.4486
Stanford,281904,2312497,224.1891
std1_Jac2,21983,1248731,1.6899
std1_Jac3,21983,1455848,2.1728
stokes128,49667,295938,0.0647
stokes64,12547,74242,0.0179
struct3,53571,613632,0.0883
t2dah,11446,93781,0.0159
t2dah_a,11446,93781,0.016
t2dah_e,11446,93781,0.0164
t3dh,79172,2215638,0.3548
t3dh_a,79172,2215638,0.3536
t3dh_e,79172,2215638,0.354
t3dl,20361,265113,0.0576
t3dl_a,20361,265113,0.0577
tandem_vtx,18455,135902,0.0386
ted_A,10606,424587,0.0913
ted_AB,10606,522387,0.1461
ted_AB_unscaled,10606,522387,0.1429
ted_A_unscaled,10606,424587,0.0913
ted_B_unscaled,10606,77592,0.0193
thread,29737,2249892,0.4933
tmt_sym,726714,2903837,0.7293
torso1,116159,8516500,1000000000
transient,178867,961790,1871.125
trdheim,22099,978711,0.1149
Trefethen_20000,20001,287233,0.0763
Trefethen_20000b,20000,287217,0.0764
troll,213454,6099282,1000000000
TSOPF_FS_b162_c1,10799,305732,0.0662
TSOPF_FS_b162_c3,30799,904612,0.1242
TSOPF_FS_b162_c4,40799,1204322,0.159
TSOPF_FS_b300,29215,2203949,0.4184
TSOPF_FS_b300_c1,29215,2203949,0.4184
TSOPF_FS_b300_c2,56815,4391071,0.7472
TSOPF_FS_b300_c3,84415,6578753,1000000000
TSOPF_FS_b39_c19,76217,998359,0.1298
TSOPF_FS_b39_c30,120217,1575639,0.2016
