dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
jan99jac100sc,34455,215862,0.0363,0.0374,0.0408,0.0413
cca,49153,69632,0.0261,0.0351,0.0295,0.0359
FullChip,2987013,26621990,502.4648,3.9434,416.1475,3.909
2D_27628_bjtcai,27629,442898,0.0478,0.0477,0.0515,0.052
tmt_unsym,917826,4584801,0.8628,0.8952,0.8387,0.9018
rajat09,24483,64982,0.018,0.0187,0.0203,0.0207
gupta3,16784,4670105,1.8355,0.1659,1.3324,0.1613
rajat24,358173,1948235,16.9801,0.3786,14.3642,0.38
m133-b3,200201,800800,0.1981,0.2075,0.1936,0.211
mod2,66410,199810,0.244,0.0674,0.2332,0.0666
TSOPF_FS_b162_c1,10799,305732,0.0219,0.0218,0.0226,0.0226
t2em,921633,4590832,0.8557,0.8845,0.8346,0.8942
g7jac160sc,47431,656616,0.0988,0.1086,0.1046,0.1104
atmosmodl,1489753,10319760,2.0089,2.0018,1.91,2.0138
ar2010,186212,452155,0.1423,0.1526,0.1389,0.1536
lp_nug20,72601,304800,0.0651,0.0676,0.0669,0.0685
para-10,155925,5416358,1.5602,0.6496,1.4071,0.666
thermomech_TK,102159,406858,0.1091,0.1132,0.1082,0.1148
pre2,659034,5959282,0.9097,0.8526,0.8964,0.8597
mark3jac140sc,64090,399735,0.0783,0.0816,0.0768,0.0816
delaunay_n16,65537,196575,0.0427,0.0538,0.044,0.0539
CurlCurl_2,806530,4864159,0.6855,0.723,0.6622,0.718
c-45,13207,93829,0.0135,0.0138,0.0145,0.0148
offshore,259790,2251231,0.4192,0.4182,0.4204,0.426
mario002,389875,1167685,0.3014,0.3306,0.2901,0.3309
mark3jac040sc,18290,113435,0.0247,0.0249,0.0269,0.0272
2D_54019_highK,54020,996414,0.3219,0.1035,0.2699,0.1023
mri2,147457,569160,0.0684,0.0704,0.0647,0.0697
rajat23,110356,556938,0.4948,0.126,0.4754,0.127
hvdc1,24843,159981,0.0451,0.0407,0.0466,0.0436
pkustk10,80677,2194830,0.1536,0.1495,0.1494,0.1482
cop20k_A,121193,1362087,0.154,0.1549,0.1529,0.155
c-53,30236,201224,0.0488,0.0397,0.053,0.0431
shipsec1,140875,3977139,0.2558,0.2546,0.2564,0.2574
mark3jac080sc,36610,227955,0.0412,0.0437,0.0456,0.0463
amazon0601,403395,3387388,0.6195,0.6182,0.5908,0.6173
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0629,0.0741,0.0709,0.0746
mark3jac120,54930,342475,0.0609,0.0712,0.0653,0.0715
troll,213454,6099282,0.3271,0.3286,0.3267,0.3298
srb1,54925,1508538,0.1535,0.1084,0.1433,0.1082
transient,178867,961790,10.29,0.1896,9.2925,0.1895
cz40948,40949,412148,0.055,0.0635,0.0618,0.0642
lp_nug30,379351,1567800,0.3841,0.3628,0.3524,0.3595
ne2010,193353,456927,0.1447,0.1558,0.1412,0.1565
stokes128,49667,295938,0.0405,0.0477,0.0456,0.0484
bcsstk25,15440,133840,0.0187,0.0191,0.0205,0.0208
rajat18,94295,485143,3.6801,0.1051,3.45,0.106
c-66,49990,274498,0.2849,0.0619,0.2834,0.0614
roadNet-PA,1090921,1541898,0.5847,0.6789,0.5717,0.6821
ASIC_100ks,99191,578890,0.2073,0.1273,0.1808,0.1286
sme3Da,12505,874887,0.2373,0.1404,0.2361,0.1561
jan99jac060sc,20615,127182,0.0257,0.0264,0.0279,0.0281
net150,43521,1582360,0.1673,0.1481,0.1868,0.1551
conf6_0-8x8-20,49153,1916928,0.1361,0.1364,0.1381,0.1396
NotreDame_actors,392401,1470404,0.3794,0.3658,0.3623,0.369
a0nsdsil,80017,200021,1.041,0.0701,1.0099,0.0687
TSOPF_RS_b678_c1,18697,4396289,0.1771,0.1324,0.1548,0.1349
cit-Patents,3774769,16518948,4.5667,4.1464,4.2499,4.1331
crystm03,24697,304233,0.0417,0.042,0.0465,0.0467
id2010,149843,364132,0.1213,0.1295,0.1181,0.1295
fem_hifreq_circuit,491101,20239237,1.7192,1.6819,1.6869,1.6868
af_shell4,504856,9046865,0.5275,0.5415,0.5084,0.5336
stormg2-125,172432,433256,0.1067,0.1053,0.102,0.1048
t3dl,20361,265113,0.036,0.0359,0.0398,0.0402
EAT_RS,23220,325592,0.144,0.0733,0.1453,0.082
or2010,196622,489756,0.1532,0.1638,0.1498,0.1646
wang4,26069,177196,0.0322,0.0328,0.0363,0.0364
Freescale1,3428756,18920347,3.7496,3.9051,3.5324,3.893
karted,133116,1770349,21.462,0.2925,18.5824,0.302
chipcool0,20083,281150,0.0549,0.0546,0.0605,0.0604
GL7d23,349444,2695430,0.8253,0.5655,0.769,0.5659
msdoor,415864,10328399,0.5736,0.579,0.5621,0.5734
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.029,0.0298,0.0323,0.0328
delaunay_n17,131073,393176,0.0923,0.1015,0.0893,0.102
c-46,14914,72655,0.023,0.0229,0.0242,0.0246
smallworld,100001,499998,0.0833,0.0903,0.08,0.0894
waveguide3D,21037,303468,0.0587,0.0582,0.0655,0.0648
TF18,123868,1597545,0.3014,0.29,0.308,0.3024
bcsstk31,35589,608502,0.0452,0.0495,0.0503,0.0508
c-54,31794,211743,0.1604,0.0415,0.1643,0.0456
lp_pds_20,108176,232647,0.068,0.0674,0.0653,0.0683
Si5H12,19897,379247,0.0545,0.0546,0.0604,0.0606
lowThrust_10,18261,116074,0.0202,0.0202,0.0234,0.0239
